,Pts.,PJ,PG,PE,PP,GF,GC,Dif.,Grupo,year
Italia,6,3,3,0,0,4,0,4,Grupo A,1990
Checoslovaquia,4,3,2,0,1,6,3,3,Grupo A,1990
Austria,2,3,1,0,2,2,3,–1,Grupo A,1990
Estados Unidos,0,3,0,0,3,2,8,–6,Grupo A,1990
Camerún,4,3,2,0,1,3,5,–2,Grupo B,1990
Rumania,3,3,1,1,1,4,3,1,Grupo B,1990
Argentina,3,3,1,1,1,3,2,1,Grupo B,1990
Unión Soviética,2,3,1,0,2,4,4,0,Grupo B,1990
Brasil,6,3,3,0,0,4,1,3,Grupo C,1990
Costa Rica,4,3,2,0,1,3,2,1,Grupo C,1990
Escocia,2,3,1,0,2,2,3,–1,Grupo C,1990
Suecia,0,3,0,0,3,3,6,–3,Grupo C,1990
Alemania Federal,5,3,2,1,0,10,3,7,Grupo D,1990
Yugoslavia,4,3,2,0,1,6,5,1,Grupo D,1990
Colombia,3,3,1,1,1,3,2,1,Grupo D,1990
Emiratos Árabes Unidos,0,3,0,0,3,2,11,–9,Grupo D,1990
España,5,3,2,1,0,5,2,3,Grupo E,1990
Bélgica,4,3,2,0,1,6,3,3,Grupo E,1990
Uruguay,3,3,1,1,1,2,3,–1,Grupo E,1990
Corea del Sur,0,3,0,0,3,1,6,–5,Grupo E,1990
Inglaterra,4,3,1,2,0,2,1,1,Grupo F,1990
Irlanda,3,3,0,3,0,2,2,0,Grupo F,1990
Países Bajos,3,3,0,3,0,2,2,0,Grupo F,1990
Egipto,2,3,0,2,1,1,2,–1,Grupo F,1990
