id,pais,Pts,PJ,PG,PE,PP,GF,GC,Dif,Grupo,agno
411,Nigeria,4,3,1,1,1,3,3,0,Grupo F,2014
412,Bosnia y Herzegovina,3,3,1,0,2,4,4,0,Grupo F,2014
413,Irán,1,3,0,1,2,1,4,–3,Grupo F,2014
414,Alemania,7,3,2,1,0,7,2,5,Grupo G,2014
415,Estados Unidos,4,3,1,1,1,4,4,0,Grupo G,2014
416,Portugal,4,3,1,1,1,4,7,–3,Grupo G,2014
417,Ghana,1,3,0,1,2,4,6,–2,Grupo G,2014
418,Bélgica,9,3,3,0,0,4,1,3,Grupo H,2014
419,Argelia,4,3,1,1,1,6,5,1,Grupo H,2014
420,Rusia,2,3,0,2,1,2,3,–1,Grupo H,2014
421,Corea del Sur,1,3,0,1,2,3,6,–3,Grupo H,2014
422,Uruguay,9,3,3,0,0,5,0,5,Grupo A,2018
423,Rusia,6,3,2,0,1,8,4,4,Grupo A,2018
424,Arabia Saudita,3,3,1,0,2,2,7,–5,Grupo A,2018
425,Egipto,0,3,0,0,3,2,6,–4,Grupo A,2018
426,España,5,3,1,2,0,6,5,1,Grupo B,2018
427,Portugal,5,3,1,2,0,5,4,1,Grupo B,2018
428,Irán,4,3,1,1,1,2,2,0,Grupo B,2018
429,Marruecos,1,3,0,1,2,2,4,–2,Grupo B,2018
430,Francia,7,3,2,1,0,3,1,2,Grupo C,2018
431,Dinamarca,5,3,1,2,0,2,1,1,Grupo C,2018
432,Perú,3,3,1,0,2,2,2,0,Grupo C,2018
433,Australia,1,3,0,1,2,2,5,–3,Grupo C,2018
434,Croacia,9,3,3,0,0,7,1,6,Grupo D,2018
435,Argentina,4,3,1,1,1,3,5,–2,Grupo D,2018
436,Nigeria,3,3,1,0,2,3,4,–1,Grupo D,2018
437,Islandia,1,3,0,1,2,2,5,–3,Grupo D,2018
438,Brasil,7,3,2,1,0,5,1,4,Grupo E,2018
439,Suiza,5,3,1,2,0,5,4,1,Grupo E,2018
440,Serbia,3,3,1,0,2,2,4,–2,Grupo E,2018
441,Costa Rica,1,3,0,1,2,2,5,–3,Grupo E,2018
442,Suecia,6,3,2,0,1,5,2,3,Grupo F,2018
443,México,6,3,2,0,1,3,4,–1,Grupo F,2018
444,Corea del Sur,3,3,1,0,2,3,3,0,Grupo F,2018
445,Alemania,3,3,1,0,2,2,4,–2,Grupo F,2018
446,Bélgica,9,3,3,0,0,9,2,7,Grupo G,2018
447,Inglaterra,6,3,2,0,1,8,3,5,Grupo G,2018
448,Túnez,3,3,1,0,2,5,8,–3,Grupo G,2018
449,Panamá,0,3,0,0,3,2,11,–9,Grupo G,2018
450,Colombia,6,3,2,0,1,5,2,3,Grupo H,2018
451,Japón,4,3,1,1,1,4,4,0,Grupo H,2018
452,Senegal,4,3,1,1,1,4,4,0,Grupo H,2018
453,Polonia,3,3,1,0,2,2,5,–3,Grupo H,2018
454,Países Bajos,7,3,2,1,0,5,1,4,Grupo A,2022
455,Senegal,6,3,2,0,1,5,4,1,Grupo A,2022
456,Ecuador,4,3,1,1,1,4,3,1,Grupo A,2022
457,Catar,0,3,0,0,3,1,7,–6,Grupo A,2022
458,Inglaterra,7,3,2,1,0,9,2,7,Grupo B,2022
459,Estados Unidos,5,3,1,2,0,2,1,1,Grupo B,2022
460,Irán,3,3,1,0,2,4,7,–3,Grupo B,2022
461,Gales,1,3,0,1,2,1,6,–5,Grupo B,2022
462,Argentina,6,3,2,0,1,5,2,3,Grupo C,2022
463,Polonia,4,3,1,1,1,2,2,0,Grupo C,2022
464,México,4,3,1,1,1,2,3,–1,Grupo C,2022
465,Arabia Saudita,3,3,1,0,2,3,5,–2,Grupo C,2022
466,Francia,6,3,2,0,1,6,3,3,Grupo D,2022
467,Australia,6,3,2,0,1,3,4,–1,Grupo D,2022
468,Túnez,4,3,1,1,1,1,1,0,Grupo D,2022
469,Dinamarca,1,3,0,1,2,1,3,–2,Grupo D,2022
470,Japón,6,3,2,0,1,4,3,1,Grupo E,2022
471,España,4,3,1,1,1,9,3,6,Grupo E,2022
472,Alemania,4,3,1,1,1,6,5,1,Grupo E,2022
473,Costa Rica,3,3,1,0,2,3,11,–8,Grupo E,2022
474,Marruecos,7,3,2,1,0,4,1,3,Grupo F,2022
475,Croacia,5,3,1,2,0,4,1,3,Grupo F,2022
476,Bélgica,4,3,1,1,1,1,2,–1,Grupo F,2022
477,Canadá,0,3,0,0,3,2,7,–5,Grupo F,2022
478,Brasil,6,3,2,0,1,3,1,2,Grupo G,2022
479,Suiza,6,3,2,0,1,4,3,1,Grupo G,2022
480,Camerún,4,3,1,1,1,4,4,0,Grupo G,2022
481,Serbia,1,3,0,1,2,5,8,–3,Grupo G,2022
482,Portugal,6,3,2,0,1,6,4,2,Grupo H,2022
483,Corea del Sur,4,3,1,1,1,4,4,0,Grupo H,2022
484,Uruguay,4,3,1,1,1,2,2,0,Grupo H,2022
485,Ghana,3,3,1,0,2,5,7,–2,Grupo H,2022
