id,pais,Pts,PJ,PG,PE,PP,GF,GC,Dif,Grupo,agno
93,El Salvador,0,3,0,0,3,0,9,-9,Grupo 1,1970
94,Italia,4,3,1,2,0,1,0,1,Grupo 2,1970
95,Uruguay,3,3,1,1,1,2,1,1,Grupo 2,1970
96,Suecia,3,3,1,1,1,2,2,0,Grupo 2,1970
97,Israel,2,3,0,2,1,1,3,-2,Grupo 2,1970
98,Brasil,6,3,3,0,0,8,3,5,Grupo 3,1970
99,Inglaterra,4,3,2,0,1,2,1,1,Grupo 3,1970
100,Rumania,2,3,1,0,2,4,5,-1,Grupo 3,1970
101,Checoslovaquia,0,3,0,0,3,2,7,-5,Grupo 3,1970
102,Alemania,6,3,3,0,0,10,4,6,Grupo 4,1970
103,Perú,4,3,2,0,1,7,5,2,Grupo 4,1970
104,Bulgaria,1,3,0,1,2,5,9,-4,Grupo 4,1970
105,Marruecos,1,3,0,1,2,2,6,-4,Grupo 4,1970
106,Alemania Democrática,5,3,2,1,0,4,1,3,Grupo 1,1974
107,Alemania,4,3,2,0,1,4,1,3,Grupo 1,1974
108,Chile,2,3,0,2,1,1,2,–1,Grupo 1,1974
109,Australia,1,3,0,1,2,0,5,–5,Grupo 1,1974
110,Yugoslavia,4,3,1,2,0,10,1,9,Grupo 2,1974
111,Brasil,4,3,1,2,0,3,0,3,Grupo 2,1974
112,Escocia,4,3,1,2,0,3,1,2,Grupo 2,1974
113,República Democrática del Congo,0,3,0,0,3,0,14,–14,Grupo 2,1974
114,Países Bajos,5,3,2,1,0,6,1,5,Grupo 3,1974
115,Suecia,4,3,1,2,0,3,0,3,Grupo 3,1974
116,Bulgaria,2,3,0,2,1,2,5,–3,Grupo 3,1974
117,Uruguay,1,3,0,1,2,1,6,–5,Grupo 3,1974
118,Polonia,6,3,3,0,0,12,3,9,Grupo 4,1974
119,Argentina,3,3,1,1,1,7,5,2,Grupo 4,1974
120,Italia,3,3,1,1,1,5,4,1,Grupo 4,1974
121,Haití,0,3,0,0,3,2,14,–12,Grupo 4,1974
122,Países Bajos,6,3,3,0,0,8,0,8,Grupo A,1974
123,Brasil,4,3,2,0,1,3,3,0,Grupo A,1974
124,Alemania Democrática,1,3,0,1,2,1,4,-3,Grupo A,1974
125,Argentina,1,3,0,1,2,2,7,-5,Grupo A,1974
126,Alemania,6,3,3,0,0,7,2,5,Grupo B,1974
127,Polonia,4,3,2,0,1,3,2,1,Grupo B,1974
128,Suecia,2,3,1,0,2,4,6,-2,Grupo B,1974
129,Yugoslavia,0,3,0,0,3,2,6,-4,Grupo B,1974
130,Italia,6,3,3,0,0,6,2,4,Grupo 1,1978
131,Argentina,4,3,2,0,1,4,3,1,Grupo 1,1978
132,Francia,2,3,1,0,2,5,5,0,Grupo 1,1978
133,Hungría,0,3,0,0,3,3,8,–5,Grupo 1,1978
134,Polonia,5,3,2,1,0,4,1,3,Grupo 2,1978
135,Alemania,4,3,1,2,0,6,1,6,Grupo 2,1978
136,Túnez,3,3,1,1,1,3,2,1,Grupo 2,1978
137,México,0,3,0,0,3,2,12,–10,Grupo 2,1978
138,Austria,4,3,2,0,1,3,2,1,Grupo 3,1978
139,Brasil,4,3,1,2,0,2,1,1,Grupo 3,1978
140,España,3,3,1,1,1,2,2,0,Grupo 3,1978
141,Suecia,1,3,0,1,2,1,3,–2,Grupo 3,1978
142,Perú,5,3,2,1,0,7,2,5,Grupo 4,1978
143,Países Bajos,3,3,1,1,1,5,3,2,Grupo 4,1978
144,Escocia,3,3,1,1,1,5,6,–1,Grupo 4,1978
145,Irán,1,3,0,1,2,2,8,–6,Grupo 4,1978
146,Países Bajos,5,3,2,1,0,9,4,5,Grupo A,1978
147,Italia,3,3,1,1,1,2,2,0,Grupo A,1978
148,Alemania,2,3,0,2,1,4,5,–1,Grupo A,1978
149,Austria,2,3,1,0,2,4,8,–4,Grupo A,1978
150,Argentina,5,3,2,1,0,8,0,8,Grupo B,1978
151,Brasil,5,3,2,1,0,6,1,5,Grupo B,1978
152,Polonia,2,3,1,0,2,2,5,–3,Grupo B,1978
153,Perú,0,3,0,0,3,0,10,–10,Grupo B,1978
154,Polonia,4,3,1,2,0,5,1,4,Grupo 1,1982
155,Italia,3,3,0,3,0,2,2,0,Grupo 1,1982
156,Camerún,3,3,0,3,0,1,1,0,Grupo 1,1982
157,Perú,2,3,0,2,1,2,6,–4,Grupo 1,1982
158,Alemania,4,3,2,0,1,6,3,3,Grupo 2,1982
159,Austria,4,3,2,0,1,3,1,2,Grupo 2,1982
160,Argelia,4,3,2,0,1,5,5,0,Grupo 2,1982
161,Chile,0,3,0,0,3,3,8,–5,Grupo 2,1982
162,Bélgica,5,3,2,1,0,3,1,2,Grupo 3,1982
163,Argentina,4,3,2,0,1,6,2,4,Grupo 3,1982
164,Hungría,3,3,1,1,1,12,6,6,Grupo 3,1982
165,El Salvador,0,3,0,0,3,1,13,–12,Grupo 3,1982
166,Inglaterra,6,3,3,0,0,6,1,5,Grupo 4,1982
167,Francia,3,3,1,1,1,6,5,1,Grupo 4,1982
168,Checoslovaquia,2,3,0,2,1,2,4,–2,Grupo 4,1982
169,Kuwait,1,3,0,1,2,2,6,–4,Grupo 4,1982
170,Irlanda del Norte,4,3,1,2,0,2,1,1,Grupo 5,1982
171,España,3,3,1,1,1,3,3,0,Grupo 5,1982
172,Yugoslavia,3,3,1,1,1,2,2,0,Grupo 5,1982
173,Honduras,2,3,0,2,1,2,3,–1,Grupo 5,1982
174,Brasil,6,3,3,0,0,10,2,8,Grupo 6,1982
175,Rusia,3,3,1,1,1,6,4,2,Grupo 6,1982
176,Escocia,3,3,1,1,1,8,8,0,Grupo 6,1982
