Unnamed: 0,Pts.,PJ,PG,PE,PP,GF,GC,Dif.,Grupo,year
Israel,2,3,0,2,1,1,3,-2,Grupo 2,1970
Rumania,2,3,1,0,2,4,5,-1,Grupo 3,1970
Perú,4,3,2,0,1,7,5,2,Grupo 4,1970
Unión Soviética,5,3,2,1,0,6,1,5,Grupo 1,1970
México,5,3,2,1,0,5,0,5,Grupo 1,1970
Checoslovaquia,0,3,0,0,3,2,7,-5,Grupo 3,1970
Inglaterra,4,3,2,0,1,2,1,1,Grupo 3,1970
Brasil,6,3,3,0,0,8,3,5,Grupo 3,1970
Brasil,4,3,2,0,1,3,3,0,Grupo A,1974
Uruguay,1,3,0,1,2,1,6,–5,Grupo 3,1974
Italia,3,3,1,1,1,5,4,1,Grupo 4,1974
Alemania Democrática,5,3,2,1,0,4,1,3,Grupo 1,1974
Argentina,1,3,0,1,2,2,7,-5,Grupo A,1974
Suecia,2,3,1,0,2,4,6,-2,Grupo B,1974
Alemania Federal,6,3,3,0,0,7,2,5,Grupo B,1974
Zaire,0,3,0,0,3,0,14,–14,Grupo 2,1974
Escocia,4,3,1,2,0,3,1,2,Grupo 2,1974
Argentina,3,3,1,1,1,7,5,2,Grupo 4,1974
Brasil,4,3,1,2,0,3,0,3,Grupo 2,1974
Alemania Democrática,1,3,0,1,2,1,4,-3,Grupo A,1974
Polonia,6,3,3,0,0,12,3,9,Grupo 4,1974
Yugoslavia,0,3,0,0,3,2,6,-4,Grupo B,1974
Chile,2,3,0,2,1,1,2,–1,Grupo 1,1974
Bulgaria,2,3,0,2,1,2,5,–3,Grupo 3,1974
Países Bajos,5,3,2,1,0,6,1,5,Grupo 3,1974
Australia,1,3,0,1,2,0,5,–5,Grupo 1,1974
Alemania Federal,4,3,2,0,1,4,1,3,Grupo 1,1974
Suecia,4,3,1,2,0,3,0,3,Grupo 3,1974
Yugoslavia,4,3,1,2,0,10,1,9,Grupo 2,1974
Países Bajos,6,3,3,0,0,8,0,8,Grupo A,1974
Polonia,4,3,2,0,1,3,2,1,Grupo B,1974
Haití,0,3,0,0,3,2,14,–12,Grupo 4,1974
