,Pts,PJ,PG,PE,PP,GF,GC,Dif,Grupo,year
Brasil,5,3,2,1,0,8,2,6,Grupo 1,1950
Yugoslavia,4,3,2,0,1,7,3,4,Grupo 1,1950
Suiza,3,3,1,1,1,4,6,–2,Grupo 1,1950
México,0,3,0,0,3,2,10,–8,Grupo 1,1950
España,6,3,3,0,0,6,1,5,Grupo 2,1950
Inglaterra,2,3,1,0,2,2,2,0,Grupo 2,1950
Chile,2,3,1,0,2,5,6,–1,Grupo 2,1950
Estados Unidos,2,3,1,0,2,4,8,–4,Grupo 2,1950
Suecia,3,2,1,1,0,5,4,1,Grupo 3,1950
Italia,2,2,1,0,1,4,3,1,Grupo 3,1950
Paraguay,1,2,0,1,1,2,4,–2,Grupo 3,1950
Uruguay,2,1,1,0,0,8,0,8,Grupo 4,1950
Bolivia,0,1,0,0,1,0,8,–8,Grupo 4,1950
