,Pts.,PJ,PG,PE,PP,GF,GC,Dif.,Grupo,year
Inglaterra,5,3,2,1,0,4,0,+4,Grupo 1,1966
Uruguay,4,3,1,2,0,2,1,+1,Grupo 1,1966
México,2,3,0,2,1,1,3,–2,Grupo 1,1966
Francia,1,3,0,1,2,2,5,–3,Grupo 1,1966
Alemania Federal,5,3,2,1,0,7,1,+6,Grupo 2,1966
Argentina,5,3,2,1,0,4,1,+3,Grupo 2,1966
España,2,3,1,0,2,4,5,–1,Grupo 2,1966
Suiza,0,3,0,0,3,1,9,–8,Grupo 2,1966
Portugal,6,3,3,0,0,9,2,+7,Grupo 3,1966
Hungría,4,3,2,0,1,7,5,+2,Grupo 3,1966
Brasil,2,3,1,0,2,4,6,–2,Grupo 3,1966
Bulgaria,0,3,0,0,3,1,8,–7,Grupo 3,1966
Unión Soviética,6,3,3,0,0,6,1,+5,Grupo 4,1966
Corea del Norte,3,3,1,1,1,2,4,–2,Grupo 4,1966
Italia,2,3,1,0,2,2,2,0,Grupo 4,1966
Chile,1,3,0,1,2,2,5,–3,Grupo 4,1966
