,home,score,away,year
0,Alemania,4:2,Costa Rica,2006
1,Polonia,0:2,Ecuador,2006
2,Alemania,1:0,Polonia,2006
3,Ecuador,3:0,Costa Rica,2006
4,Ecuador,0:3,Alemania,2006
5,Costa Rica,1:2,Polonia,2006
6,Inglaterra,1:0,Paraguay,2006
7,Trinidad y Tobago,0:0,Suecia,2006
8,Inglaterra,2:0,Trinidad y Tobago,2006
9,Suecia,1:0,Paraguay,2006
10,Suecia,2:2,Inglaterra,2006
11,Paraguay,2:0,Trinidad y Tobago,2006
12,Argentina,2:1,Costa de Marfil,2006
13,Serbia y Montenegro,0:1,Países Bajos,2006
14,Argentina,6:0,Serbia y Montenegro,2006
15,Países Bajos,2:1,Costa de Marfil,2006
16,Países Bajos,0:0,Argentina,2006
17,Costa de Marfil,3:2,Serbia y Montenegro,2006
18,México,3:1,Irán,2006
19,Angola,0:1,Portugal,2006
20,México,0:0,Angola,2006
21,Portugal,2:0,Irán,2006
22,Portugal,2:1,México,2006
23,Irán,1:1,Angola,2006
24,Estados Unidos,0:3,República Checa,2006
25,Italia,2:0,Ghana,2006
26,República Checa,0:2,Ghana,2006
27,Italia,1:1,Estados Unidos,2006
28,República Checa,0:2,Italia,2006
29,Ghana,2:1,Estados Unidos,2006
30,Australia,3:1,Japón,2006
31,Brasil,1:0,Croacia,2006
32,Japón,0:0,Croacia,2006
33,Brasil,2:0,Australia,2006
34,Japón,1:4,Brasil,2006
35,Croacia,2:2,Australia,2006
36,Corea del Sur,2:1,Togo,2006
37,Francia,0:0,Suiza,2006
38,Francia,1:1,Corea del Sur,2006
39,Togo,0:2,Suiza,2006
40,Togo,0:2,Francia,2006
41,Suiza,2:0,Corea del Sur,2006
42,España,4:0,Ucrania,2006
43,Túnez,2:2,Arabia Saudita,2006
44,Arabia Saudita,0:4,Ucrania,2006
45,España,3:1,Túnez,2006
46,Arabia Saudita,0:1,España,2006
47,Ucrania,1:0,Túnez,2006
48,Alemania,2:0,Suecia,2006
49,Argentina,2:1,México,2006
50,Inglaterra,1:0,Ecuador,2006
51,Portugal,1:0,Países Bajos,2006
52,Italia,1:0,Australia,2006
53,Suiza,0:3,Ucrania,2006
54,Brasil,3:0,Ghana,2006
55,España,1:3,Francia,2006
56,Alemania,4:2,Argentina,2006
57,Italia,3:0,Ucrania,2006
58,Inglaterra,1:3,Portugal,2006
59,Brasil,0:1,Francia,2006
60,Alemania,0:2,Italia,2006
61,Portugal,0:1,Francia,2006
62,Alemania,3:1,Portugal,2006
63,Italia,5:3,Francia,2006
