id,home,score,away,agno
142,Runners-up Grupo 3,Match 27,Winner Grupo 4,1962
143,Runners-up Grupo 1,Match 28,Winner Grupo 2,1962
144,Winner Match 26,Match 29,Winner Match 25,1962
145,Winner Match 27,Match 30,Winner Match 28,1962
146,Loser Match 29,Match 31,Loser Match 30,1962
147,Winner Match 29,Match 32,Winner Match 30,1962
148,Inglaterra,0:0,Uruguay,1966
149,Francia,1:1,México,1966
150,Uruguay,2:1,Francia,1966
151,Inglaterra,2:0,México,1966
152,Uruguay,0:0,México,1966
153,Inglaterra,2:0,Francia,1966
154,Alemania,5:0,Suiza,1966
155,Argentina,2:1,España,1966
156,España,2:1,Suiza,1966
157,Alemania,0:0,Argentina,1966
158,Argentina,2:0,Suiza,1966
159,Alemania,2:1,España,1966
160,Brasil,2:0,Bulgaria,1966
161,Portugal,3:1,Hungría,1966
162,Hungría,3:1,Brasil,1966
163,Portugal,3:0,Bulgaria,1966
164,Portugal,3:1,Brasil,1966
165,Hungría,3:1,Bulgaria,1966
166,Rusia,3:0,Corea del Norte,1966
167,Italia,2:0,Chile,1966
168,Corea del Norte,1:1,Chile,1966
169,Rusia,1:0,Italia,1966
170,Corea del Norte,1:0,Italia,1966
171,Rusia,2:1,Chile,1966
172,Winner Grupo 4,Match 25,Runners-up Grupo 3,1966
173,Winner Grupo 2,Match 26,Runners-up Grupo 1,1966
174,Winner Grupo 3,Match 27,Runners-up Grupo 4,1966
175,Winner Grupo 1,Match 28,Runners-up Grupo 2,1966
176,Winner Match 26,Match 29,Winner Match 25,1966
177,Winner Match 28,Match 30,Winner Match 27,1966
178,Loser Match 30,Match 31,Loser Match 29,1966
179,Winner Match 30,Match 32,Winner Match 29,1966
180,México,0:0,Rusia,1970
181,Bélgica,3:0,El Salvador,1970
182,Rusia,4:1,Bélgica,1970
183,México,4:0,El Salvador,1970
184,Rusia,2:0,El Salvador,1970
185,México,1:0,Bélgica,1970
186,Uruguay,2:0,Israel,1970
187,Italia,1:0,Suecia,1970
188,Uruguay,0:0,Italia,1970
189,Suecia,1:1,Israel,1970
190,Suecia,1:0,Uruguay,1970
191,Italia,0:0,Israel,1970
192,Inglaterra,1:0,Rumania,1970
193,Brasil,4:1,Checoslovaquia,1970
194,Rumania,2:1,Checoslovaquia,1970
195,Brasil,1:0,Inglaterra,1970
196,Brasil,3:2,Rumania,1970
197,Inglaterra,1:0,Checoslovaquia,1970
198,Perú,3:2,Bulgaria,1970
199,Alemania,2:1,Marruecos,1970
200,Perú,3:0,Marruecos,1970
201,Alemania,5:2,Bulgaria,1970
202,Alemania,3:1,Perú,1970
203,Bulgaria,1:1,Marruecos,1970
204,Runners-up Grupo 2,Match 25,Winner Grupo 1,1970
205,Winner Grupo 3,Match 26,Runners-up Grupo 4,1970
206,Winner Grupo 4,Match 27,Runners-up Grupo 3,1970
207,Winner Grupo 2,Match 28,Runners-up Grupo 1,1970
208,Winner Match 26,Match 29,Winner Match 25,1970
209,Winner Match 28,Match 30,Winner Match 27,1970
210,Loser Match 30,Match 31,Loser Match 29,1970
211,Winner Match 29,Match 32,Winner Match 30,1970
212,Alemania,1:0,Chile,1974
213,Alemania Democrática,2:0,Australia,1974
214,Australia,0:3,Alemania,1974
215,Chile,1:1,Alemania Democrática,1974
216,Australia,0:0,Chile,1974
217,Alemania Democrática,1:0,Alemania,1974
218,Brasil,0:0,Yugoslavia,1974
219,República Democrática del Congo,0:2,Escocia,1974
220,Escocia,0:0,Brasil,1974
221,Yugoslavia,9:0,República Democrática del Congo,1974
222,Escocia,1:1,Yugoslavia,1974
223,República Democrática del Congo,0:3,Brasil,1974
224,Suecia,0:0,Bulgaria,1974
225,Uruguay,0:2,Países Bajos,1974
226,Países Bajos,0:0,Suecia,1974
227,Bulgaria,1:1,Uruguay,1974
228,Bulgaria,1:4,Países Bajos,1974
229,Suecia,3:0,Uruguay,1974
230,Italia,3:1,Haití,1974
231,Polonia,3:2,Argentina,1974
232,Argentina,1:1,Italia,1974
233,Haití,0:7,Polonia,1974
234,Polonia,2:1,Italia,1974
235,Argentina,4:1,Haití,1974
236,Winner Grupo 3,Match 25,Runners-up Grupo 4,1974
237,Runners-up Grupo 2,Match 26,Winner Grupo 1,1974
238,Winner Grupo 1,Match 27,Winner Grupo 3,1974
239,Runners-up Grupo 4,Match 28,Runners-up Grupo 2,1974
240,Winner Grupo 3,Match 29,Runners-up Grupo 2,1974
241,Runners-up Grupo 4,Match 30,Winner Grupo 1,1974
242,Winner Grupo 2,Match 31,Runners-up Grupo 1,1974
243,Runners-up Grupo 3,Match 32,Winner Grupo 4,1974
244,Winner Grupo 4,Match 33,Winner Grupo 2,1974
245,Runners-up Grupo 1,Match 34,Runners-up Grupo 3,1974
246,Winner Grupo 4,Match 35,Runners-up Grupo 1,1974
