id,home,score,away,agno
618,Winner Match 52,Match 59,Winner Match 56,2002
619,Winner Match 51,Match 60,Winner Match 55,2002
620,Winner Match 58,Match 61,Winner Match 59,2002
621,Winner Match 57,Match 62,Winner Match 60,2002
622,Loser Match 61,Match 63,Loser Match 62,2002
623,Winner Match 61,Match 64,Winner Match 62,2002
624,Alemania,4:2,Costa Rica,2006
625,Polonia,0:2,Ecuador,2006
626,Alemania,1:0,Polonia,2006
627,Ecuador,3:0,Costa Rica,2006
628,Ecuador,0:3,Alemania,2006
629,Costa Rica,1:2,Polonia,2006
630,Inglaterra,1:0,Paraguay,2006
631,Trinidad y Tobago,0:0,Suecia,2006
632,Inglaterra,2:0,Trinidad y Tobago,2006
633,Suecia,1:0,Paraguay,2006
634,Suecia,2:2,Inglaterra,2006
635,Paraguay,2:0,Trinidad y Tobago,2006
636,Argentina,2:1,Costa de Marfil,2006
637,Serbia,0:1,Países Bajos,2006
638,Argentina,6:0,Serbia,2006
639,Países Bajos,2:1,Costa de Marfil,2006
640,Países Bajos,0:0,Argentina,2006
641,Costa de Marfil,3:2,Serbia,2006
642,México,3:1,Irán,2006
643,Angola,0:1,Portugal,2006
644,México,0:0,Angola,2006
645,Portugal,2:0,Irán,2006
646,Portugal,2:1,México,2006
647,Irán,1:1,Angola,2006
648,Estados Unidos,0:3,República Checa,2006
649,Italia,2:0,Ghana,2006
650,República Checa,0:2,Ghana,2006
651,Italia,1:1,Estados Unidos,2006
652,República Checa,0:2,Italia,2006
653,Ghana,2:1,Estados Unidos,2006
654,Australia,3:1,Japón,2006
655,Brasil,1:0,Croacia,2006
656,Japón,0:0,Croacia,2006
657,Brasil,2:0,Australia,2006
658,Japón,1:4,Brasil,2006
659,Croacia,2:2,Australia,2006
660,Corea del Sur,2:1,Togo,2006
661,Francia,0:0,Suiza,2006
662,Francia,1:1,Corea del Sur,2006
663,Togo,0:2,Suiza,2006
664,Togo,0:2,Francia,2006
665,Suiza,2:0,Corea del Sur,2006
666,España,4:0,Ucrania,2006
667,Túnez,2:2,Arabia Saudita,2006
668,Arabia Saudita,0:4,Ucrania,2006
669,España,3:1,Túnez,2006
670,Arabia Saudita,0:1,España,2006
671,Ucrania,1:0,Túnez,2006
672,Winner Grupo A,Match 49,Runners-up Grupo B,2006
673,Winner Grupo C,Match 50,Runners-up Grupo D,2006
674,Winner Grupo B,Match 51,Runners-up Grupo A,2006
675,Winner Grupo D,Match 52,Runners-up Grupo C,2006
676,Winner Grupo E,Match 53,Runners-up Grupo F,2006
677,Winner Grupo G,Match 54,Runners-up Grupo H,2006
678,Winner Grupo F,Match 55,Runners-up Grupo E,2006
679,Winner Grupo H,Match 56,Runners-up Grupo G,2006
680,Winner Match 49,Match 57,Winner Match 50,2006
681,Winner Match 53,Match 58,Winner Match 54,2006
682,Winner Match 51,Match 59,Winner Match 52,2006
683,Winner Match 55,Match 60,Winner Match 56,2006
684,Winner Match 57,Match 61,Winner Match 58,2006
685,Winner Match 59,Match 62,Winner Match 60,2006
686,Loser Match 61,Match 63,Loser Match 62,2006
687,Winner Match 61,Match 64,Winner Match 62,2006
688,Sudáfrica,1:1,México,2010
689,Uruguay,0:0,Francia,2010
690,Sudáfrica,0:3,Uruguay,2010
691,Francia,0:2,México,2010
692,México,0:1,Uruguay,2010
693,Francia,1:2,Sudáfrica,2010
694,Corea del Sur,2:0,Grecia,2010
695,Argentina,1:0,Nigeria,2010
696,Argentina,4:1,Corea del Sur,2010
697,Grecia,2:1,Nigeria,2010
698,Grecia,0:2,Argentina,2010
699,Nigeria,2:2,Corea del Sur,2010
700,Inglaterra,1:1,Estados Unidos,2010
701,Argelia,0:1,Eslovenia,2010
702,Eslovenia,2:2,Estados Unidos,2010
703,Inglaterra,0:0,Argelia,2010
704,Eslovenia,0:1,Inglaterra,2010
705,Estados Unidos,1:0,Argelia,2010
706,Serbia,0:1,Ghana,2010
707,Alemania,4:0,Australia,2010
708,Alemania,0:1,Serbia,2010
709,Ghana,1:1,Australia,2010
710,Ghana,0:1,Alemania,2010
711,Australia,2:1,Serbia,2010
712,Países Bajos,2:0,Dinamarca,2010
713,Japón,1:0,Camerún,2010
714,Países Bajos,1:0,Japón,2010
715,Camerún,1:2,Dinamarca,2010
716,Dinamarca,1:3,Japón,2010
717,Camerún,1:2,Países Bajos,2010
718,Italia,1:1,Paraguay,2010
719,Nueva Zelanda,1:1,Eslovaquia,2010
720,Eslovaquia,0:2,Paraguay,2010
721,Italia,1:1,Nueva Zelanda,2010
722,Eslovaquia,3:2,Italia,2010
723,Paraguay,0:0,Nueva Zelanda,2010
724,Costa de Marfil,0:0,Portugal,2010
725,Brasil,2:1,Corea del Norte,2010
726,Brasil,3:1,Costa de Marfil,2010
727,Portugal,7:0,Corea del Norte,2010
728,Portugal,0:0,Brasil,2010
729,Corea del Norte,0:3,Costa de Marfil,2010
730,Honduras,0:1,Chile,2010
731,España,0:1,Suiza,2010
732,Chile,1:0,Suiza,2010
733,España,2:0,Honduras,2010
734,Chile,1:2,España,2010
735,Suiza,0:0,Honduras,2010
736,Winner Grupo A,Match 49,Runners-up Grupo B,2010
737,Winner Grupo C,Match 50,Runners-up Grupo D,2010
738,Winner Grupo D,Match 51,Runners-up Grupo C,2010
739,Winner Grupo B,Match 52,Runners-up Grupo A,2010
740,Winner Grupo E,Match 53,Runners-up Grupo F,2010
741,Winner Grupo G,Match 54,Runners-up Grupo H,2010
742,Winner Grupo F,Match 55,Runners-up Grupo E,2010
743,Winner Grupo H,Match 56,Runners-up Grupo G,2010
744,Winner Match 53,Match 57,Winner Match 54,2010
745,Winner Match 49,Match 58,Winner Match 50,2010
746,Winner Match 52,Match 59,Winner Match 51,2010
747,Winner Match 55,Match 60,Winner Match 56,2010
748,Winner Match 58,Match 61,Winner Match 57,2010
749,Winner Match 59,Match 62,Winner Match 60,2010
750,Loser Match 61,Match 63,Loser Match 62,2010
751,Winner Match 61,Match 64,Winner Match 62,2010
752,Brasil,3:1,Croacia,2014
753,México,1:0,Camerún,2014
754,Brasil,0:0,México,2014
755,Camerún,0:4,Croacia,2014
756,Camerún,1:4,Brasil,2014
757,Croacia,1:3,México,2014
758,España,1:5,Países Bajos,2014
759,Chile,3:1,Australia,2014
760,Australia,2:3,Países Bajos,2014
761,España,0:2,Chile,2014
762,Australia,0:3,España,2014
763,Países Bajos,2:0,Chile,2014
764,Colombia,3:0,Grecia,2014
765,Costa de Marfil,2:1,Japón,2014
766,Colombia,2:1,Costa de Marfil,2014
767,Japón,0:0,Grecia,2014
768,Japón,1:4,Colombia,2014
769,Grecia,2:1,Costa de Marfil,2014
770,Uruguay,1:3,Costa Rica,2014
771,Inglaterra,1:2,Italia,2014
772,Uruguay,2:1,Inglaterra,2014
773,Italia,0:1,Costa Rica,2014
774,Italia,0:1,Uruguay,2014
775,Costa Rica,0:0,Inglaterra,2014
776,Suiza,2:1,Ecuador,2014
777,Francia,3:0,Honduras,2014
778,Suiza,2:5,Francia,2014
779,Honduras,1:2,Ecuador,2014
780,Honduras,0:3,Suiza,2014
781,Ecuador,0:0,Francia,2014
782,Argentina,2:1,Bosnia y Herzegovina,2014
783,Irán,0:0,Nigeria,2014
784,Argentina,1:0,Irán,2014
785,Nigeria,1:0,Bosnia y Herzegovina,2014
786,Nigeria,2:3,Argentina,2014
787,Bosnia y Herzegovina,3:1,Irán,2014
788,Alemania,4:0,Portugal,2014
789,Ghana,1:2,Estados Unidos,2014
790,Alemania,2:2,Ghana,2014
791,Estados Unidos,2:2,Portugal,2014
792,Estados Unidos,0:1,Alemania,2014
793,Portugal,2:1,Ghana,2014
794,Bélgica,2:1,Argelia,2014
795,Rusia,1:1,Corea del Sur,2014
796,Bélgica,1:0,Rusia,2014
797,Corea del Sur,2:4,Argelia,2014
798,Corea del Sur,0:1,Bélgica,2014
799,Argelia,1:1,Rusia,2014
800,Winner Grupo A,Match 49,Runners-up Grupo B,2014
801,Winner Grupo C,Match 50,Runners-up Grupo D,2014
802,Winner Grupo B,Match 51,Runners-up Grupo A,2014
803,Winner Grupo D,Match 52,Runners-up Grupo C,2014
804,Winner Grupo E,Match 53,Runners-up Grupo F,2014
805,Winner Grupo G,Match 54,Runners-up Grupo H,2014
806,Winner Grupo F,Match 55,Runners-up Grupo E,2014
807,Winner Grupo H,Match 56,Runners-up Grupo G,2014
808,Winner Match 53,Match 57,Winner Match 54,2014
809,Winner Match 49,Match 58,Winner Match 50,2014
810,Winner Match 55,Match 59,Winner Match 56,2014
811,Winner Match 51,Match 60,Winner Match 52,2014
812,Winner Match 58,Match 61,Winner Match 57,2014
813,Winner Match 60,Match 62,Winner Match 59,2014
814,Loser Match 61,Match 63,Loser Match 62,2014
815,Winner Match 61,Match 64,Winner Match 62,2014
816,Rusia,5:0,Arabia Saudita,2018
817,Egipto,0:1,Uruguay,2018
818,Rusia,3:1,Egipto,2018
819,Uruguay,1:0,Arabia Saudita,2018
820,Uruguay,3:0,Rusia,2018
821,Arabia Saudita,2:1,Egipto,2018
822,Marruecos,0:1,Irán,2018
823,Portugal,3:3,España,2018
824,Portugal,1:0,Marruecos,2018
825,Irán,0:1,España,2018
826,Irán,1:1,Portugal,2018
827,España,2:2,Marruecos,2018
828,Francia,2:1,Australia,2018
829,Perú,0:1,Dinamarca,2018
830,Dinamarca,1:1,Australia,2018
831,Francia,1:0,Perú,2018
832,Dinamarca,0:0,Francia,2018
833,Australia,0:2,Perú,2018
834,Argentina,1:1,Islandia,2018
835,Croacia,2:0,Nigeria,2018
836,Argentina,0:3,Croacia,2018
837,Nigeria,2:0,Islandia,2018
838,Nigeria,1:2,Argentina,2018
839,Islandia,1:2,Croacia,2018
840,Costa Rica,0:1,Serbia,2018
841,Brasil,1:1,Suiza,2018
842,Brasil,2:0,Costa Rica,2018
843,Serbia,1:2,Suiza,2018
844,Serbia,0:2,Brasil,2018
845,Suiza,2:2,Costa Rica,2018
846,Alemania,0:1,México,2018
847,Suecia,1:0,Corea del Sur,2018
848,Corea del Sur,1:2,México,2018
849,Alemania,2:1,Suecia,2018
850,Corea del Sur,2:0,Alemania,2018
851,México,0:3,Suecia,2018
852,Bélgica,3:0,Panamá,2018
853,Túnez,1:2,Inglaterra,2018
854,Bélgica,5:2,Túnez,2018
855,Inglaterra,6:1,Panamá,2018
856,Inglaterra,0:1,Bélgica,2018
857,Panamá,1:2,Túnez,2018
858,Colombia,1:2,Japón,2018
859,Polonia,1:2,Senegal,2018
860,Japón,2:2,Senegal,2018
861,Polonia,0:3,Colombia,2018
862,Japón,0:1,Polonia,2018
863,Senegal,0:1,Colombia,2018
864,Winner Grupo C,Match 49,Runners-up Grupo D,2018
865,Winner Grupo A,Match 50,Runners-up Grupo B,2018
866,Winner Grupo B,Match 51,Runners-up Grupo A,2018
867,Winner Grupo D,Match 52,Runners-up Grupo C,2018
868,Winner Grupo E,Match 53,Runners-up Grupo F,2018
869,Winner Grupo G,Match 54,Runners-up Grupo H,2018
870,Winner Grupo F,Match 55,Runners-up Grupo E,2018
871,Winner Grupo H,Match 56,Runners-up Grupo G,2018
872,Winner Match 50,Match 57,Winner Match 49,2018
873,Winner Match 53,Match 58,Winner Match 54,2018
874,Winner Match 55,Match 59,Winner Match 56,2018
875,Winner Match 51,Match 60,Winner Match 52,2018
876,Winner Match 57,Match 61,Winner Match 58,2018
877,Winner Match 60,Match 62,Winner Match 59,2018
878,Loser Match 61,Match 63,Loser Match 62,2018
879,Winner Match 61,Match 64,Winner Match 62,2018
880,Catar,0:2,Ecuador,2022
881,Senegal,0:2,Países Bajos,2022
882,Catar,1:3,Senegal,2022
883,Países Bajos,1:1,Ecuador,2022
884,Ecuador,1:2,Senegal,2022
885,Países Bajos,2:0,Catar,2022
886,Inglaterra,6:2,Irán,2022
887,Estados Unidos,1:1,Gales,2022
888,Gales,0:2,Irán,2022
889,Inglaterra,0:0,Estados Unidos,2022
890,Gales,0:3,Inglaterra,2022
891,Irán,0:1,Estados Unidos,2022
892,Argentina,1:2,Arabia Saudita,2022
893,México,0:0,Polonia,2022
894,Polonia,2:0,Arabia Saudita,2022
895,Argentina,2:0,México,2022
896,Polonia,0:2,Argentina,2022
897,Arabia Saudita,1:2,México,2022
898,Dinamarca,0:0,Túnez,2022
899,Francia,4:1,Australia,2022
900,Túnez,0:1,Australia,2022
901,Francia,2:1,Dinamarca,2022
902,Australia,1:0,Dinamarca,2022
903,Túnez,1:0,Francia,2022
904,Alemania,1:2,Japón,2022
905,España,7:0,Costa Rica,2022
906,Japón,0:1,Costa Rica,2022
907,España,1:1,Alemania,2022
908,Japón,2:1,España,2022
909,Costa Rica,2:4,Alemania,2022
910,Marruecos,0:0,Croacia,2022
911,Bélgica,1:0,Canadá,2022
912,Bélgica,0:2,Marruecos,2022
913,Croacia,4:1,Canadá,2022
914,Croacia,0:0,Bélgica,2022
915,Canadá,1:2,Marruecos,2022
916,Suiza,1:0,Camerún,2022
917,Brasil,2:0,Serbia,2022
918,Camerún,3:3,Serbia,2022
919,Brasil,1:0,Suiza,2022
920,Serbia,2:3,Suiza,2022
921,Camerún,1:0,Brasil,2022
922,Uruguay,0:0,Corea del Sur,2022
923,Portugal,3:2,Ghana,2022
924,Corea del Sur,2:3,Ghana,2022
925,Portugal,2:0,Uruguay,2022
926,Ghana,0:2,Uruguay,2022
927,Corea del Sur,2:1,Portugal,2022
928,Winner Grupo A,Match 49,Runners-up Grupo B,2022
929,Winner Grupo C,Match 50,Runners-up Grupo D,2022
930,Winner Grupo D,Match 51,Runners-up Grupo C,2022
931,Winner Grupo B,Match 52,Runners-up Grupo A,2022
932,Winner Grupo E,Match 53,Runners-up Grupo F,2022
933,Winner Grupo G,Match 54,Runners-up Grupo H,2022
934,Winner Grupo F,Match 55,Runners-up Grupo E,2022
935,Winner Grupo H,Match 56,Runners-up Grupo G,2022
936,Winner Match 53,Match 57,Winner Match 54,2022
937,Winner Match 49,Match 58,Winner Match 50,2022
938,Winner Match 55,Match 59,Winner Match 56,2022
939,Winner Match 52,Match 60,Winner Match 51,2022
940,Winner Match 58,Match 61,Winner Match 57,2022
941,Winner Match 60,Match 62,Winner Match 59,2022
942,Loser Match 61,Match 63,Loser Match 62,2022
943,Winner Match 61,Match 64,Winner Match 62,2022
