,home,score,away,year
0,Brasil,3:1,Croacia,2014
1,México,1:0,Camerún,2014
2,Brasil,0:0,México,2014
3,Camerún,0:4,Croacia,2014
4,Camerún,1:4,Brasil,2014
5,Croacia,1:3,México,2014
6,España,1:5,Países Bajos,2014
7,Chile,3:1,Australia,2014
8,Australia,2:3,Países Bajos,2014
9,España,0:2,Chile,2014
10,Australia,0:3,España,2014
11,Países Bajos,2:0,Chile,2014
12,Colombia,3:0,Grecia,2014
13,Costa de Marfil,2:1,Japón,2014
14,Colombia,2:1,Costa de Marfil,2014
15,Japón,0:0,Grecia,2014
16,Japón,1:4,Colombia,2014
17,Grecia,2:1,Costa de Marfil,2014
18,Uruguay,1:3,Costa Rica,2014
19,Inglaterra,1:2,Italia,2014
20,Uruguay,2:1,Inglaterra,2014
21,Italia,0:1,Costa Rica,2014
22,Italia,0:1,Uruguay,2014
23,Costa Rica,0:0,Inglaterra,2014
24,Suiza,2:1,Ecuador,2014
25,Francia,3:0,Honduras,2014
26,Suiza,2:5,Francia,2014
27,Honduras,1:2,Ecuador,2014
28,Honduras,0:3,Suiza,2014
29,Ecuador,0:0,Francia,2014
30,Argentina,2:1,Bosnia y Herzegovina,2014
31,Irán,0:0,Nigeria,2014
32,Argentina,1:0,Irán,2014
33,Nigeria,1:0,Bosnia y Herzegovina,2014
34,Nigeria,2:3,Argentina,2014
35,Bosnia y Herzegovina,3:1,Irán,2014
36,Alemania,4:0,Portugal,2014
37,Ghana,1:2,Estados Unidos,2014
38,Alemania,2:2,Ghana,2014
39,Estados Unidos,2:2,Portugal,2014
40,Estados Unidos,0:1,Alemania,2014
41,Portugal,2:1,Ghana,2014
42,Bélgica,2:1,Argelia,2014
43,Rusia,1:1,Corea del Sur,2014
44,Bélgica,1:0,Rusia,2014
45,Corea del Sur,2:4,Argelia,2014
46,Corea del Sur,0:1,Bélgica,2014
47,Argelia,1:1,Rusia,2014
48,Brasil,3:2,Chile,2014
49,Colombia,2:0,Uruguay,2014
50,Países Bajos,2:1,México,2014
51,Costa Rica,5:3,Grecia,2014
52,Francia,2:0,Nigeria,2014
53,Alemania,2:1,Argelia,2014
54,Argentina,1:0,Suiza,2014
55,Bélgica,2:1,Estados Unidos,2014
56,Francia,0:1,Alemania,2014
57,Brasil,2:1,Colombia,2014
58,Argentina,1:0,Bélgica,2014
59,Países Bajos,4:3,Costa Rica,2014
60,Brasil,1:7,Alemania,2014
61,Países Bajos,2:4,Argentina,2014
62,Brasil,0:3,Países Bajos,2014
63,Alemania,1:0,Argentina,2014
