,home,score,away,year
34,Croacia,0:0,Bélgica,2022
51,Inglaterra,3:0,Senegal,2022
23,Túnez,1:0,Francia,2022
44,Corea del Sur,2:3,Ghana,2022
11,Irán,0:1,Estados Unidos,2022
60,Argentina,3:0,Croacia,2022
5,Países Bajos,2:0,Catar,2022
62,Croacia,2:1,Marruecos,2022
54,Marruecos,3:0,España,2022
14,Polonia,2:0,Arabia Saudita,2022
8,Gales,0:2,Irán,2022
50,Francia,3:1,Polonia,2022
36,Suiza,1:0,Camerún,2022
57,Países Bajos,3:4,Argentina,2022
40,Serbia,2:3,Suiza,2022
33,Croacia,4:1,Canadá,2022
61,Francia,2:0,Marruecos,2022
20,Túnez,0:1,Australia,2022
25,España,7:0,Costa Rica,2022
59,Inglaterra,1:2,Francia,2022
17,Arabia Saudita,1:2,México,2022
13,México,0:0,Polonia,2022
19,Francia,4:1,Australia,2022
47,Corea del Sur,2:1,Portugal,2022
35,Canadá,1:2,Marruecos,2022
58,Marruecos,1:0,Portugal,2022
10,Gales,0:3,Inglaterra,2022
49,Argentina,2:1,Australia,2022
24,Alemania,1:2,Japón,2022
12,Argentina,1:2,Arabia Saudita,2022
52,Japón,1:3,Croacia,2022
7,Estados Unidos,1:1,Gales,2022
41,Camerún,1:0,Brasil,2022
31,Bélgica,1:0,Canadá,2022
53,Brasil,4:1,Corea del Sur,2022
32,Bélgica,0:2,Marruecos,2022
37,Brasil,2:0,Serbia,2022
55,Portugal,6:1,Suiza,2022
45,Portugal,2:0,Uruguay,2022
4,Ecuador,1:2,Senegal,2022
29,Costa Rica,2:4,Alemania,2022
43,Portugal,3:2,Ghana,2022
28,Japón,2:1,España,2022
18,Dinamarca,0:0,Túnez,2022
56,Croacia,4:2,Brasil,2022
30,Marruecos,0:0,Croacia,2022
22,Australia,1:0,Dinamarca,2022
63,Argentina,4:2,Francia,2022
46,Ghana,0:2,Uruguay,2022
26,Japón,0:1,Costa Rica,2022
15,Argentina,2:0,México,2022
48,Países Bajos,3:1,Estados Unidos,2022
21,Francia,2:1,Dinamarca,2022
9,Inglaterra,0:0,Estados Unidos,2022
16,Polonia,0:2,Argentina,2022
39,Brasil,1:0,Suiza,2022
3,Países Bajos,1:1,Ecuador,2022
1,Senegal,0:2,Países Bajos,2022
42,Uruguay,0:0,Corea del Sur,2022
6,Inglaterra,6:2,Irán,2022
0,Catar,0:2,Ecuador,2022
38,Camerún,3:3,Serbia,2022
27,España,1:1,Alemania,2022
2,Catar,1:3,Senegal,2022
