id,agno,home,away,score_0,score_1,tournament
0,1933,Suecia,Estonia,6,2,FIFA World Cup qualification
1,1933,Lituania,Suecia,0,2,FIFA World Cup qualification
2,1933,Yugoslavia,Suiza,2,2,FIFA World Cup qualification
3,1933,Polonia,Checoslovaquia,1,2,FIFA World Cup qualification
4,1933,Suiza,Rumania,2,2,FIFA World Cup qualification
5,1934,Haití,Cuba,1,3,FIFA World Cup qualification
6,1934,Haití,Cuba,1,1,FIFA World Cup qualification
7,1934,Haití,Cuba,0,6,FIFA World Cup qualification
8,1934,Irlanda,Bélgica,4,4,FIFA World Cup qualification
9,1934,México,Cuba,3,2,FIFA World Cup qualification
10,1934,Luxemburgo,Alemania,1,9,FIFA World Cup qualification
11,1934,México,Cuba,5,0,FIFA World Cup qualification
12,1934,España,Portugal,9,0,FIFA World Cup qualification
13,1934,Egipto,Israel,7,1,FIFA World Cup qualification
14,1934,México,Cuba,4,1,FIFA World Cup qualification
15,1934,Portugal,España,1,2,FIFA World Cup qualification
16,1934,Bulgaria,Hungría,1,4,FIFA World Cup qualification
17,1934,Italia,Grecia,4,0,FIFA World Cup qualification
18,1934,Israel,Egipto,1,4,FIFA World Cup qualification
19,1934,Países Bajos,Irlanda,5,2,FIFA World Cup qualification
20,1934,Luxemburgo,Francia,1,6,FIFA World Cup qualification
21,1934,Austria,Bulgaria,6,1,FIFA World Cup qualification
22,1934,Hungría,Bulgaria,4,1,FIFA World Cup qualification
23,1934,Bélgica,Países Bajos,2,4,FIFA World Cup qualification
24,1934,Rumania,Yugoslavia,2,1,FIFA World Cup qualification
25,1934,México,Estados Unidos,2,4,FIFA World Cup qualification
26,1937,Suecia,Finlandia,4,0,FIFA World Cup qualification
27,1937,Suecia,Estonia,7,2,FIFA World Cup qualification
28,1937,Finlandia,Alemania,0,2,FIFA World Cup qualification
29,1937,Letonia,Lituania,4,2,FIFA World Cup qualification
30,1937,Finlandia,Estonia,0,1,FIFA World Cup qualification
31,1937,Alemania,Estonia,4,1,FIFA World Cup qualification
32,1937,Lituania,Letonia,1,5,FIFA World Cup qualification
33,1937,Austria,Letonia,2,1,FIFA World Cup qualification
34,1937,Noruega,Irlanda,3,2,FIFA World Cup qualification
35,1937,Polonia,Yugoslavia,4,0,FIFA World Cup qualification
36,1937,Bulgaria,Checoslovaquia,1,1,FIFA World Cup qualification
37,1937,Irlanda,Noruega,3,3,FIFA World Cup qualification
38,1937,Alemania,Suecia,5,0,FIFA World Cup qualification
39,1937,Países Bajos,Luxemburgo,4,0,FIFA World Cup qualification
40,1938,Israel,Grecia,1,3,FIFA World Cup qualification
41,1938,Grecia,Israel,1,0,FIFA World Cup qualification
42,1938,Luxemburgo,Bélgica,2,3,FIFA World Cup qualification
43,1938,Hungría,Grecia,11,1,FIFA World Cup qualification
44,1938,Bélgica,Países Bajos,1,1,FIFA World Cup qualification
45,1938,Yugoslavia,Polonia,1,0,FIFA World Cup qualification
46,1938,Checoslovaquia,Bulgaria,6,0,FIFA World Cup qualification
47,1938,Suiza,Portugal,2,1,FIFA World Cup qualification
48,1949,Suecia,Irlanda,3,1,FIFA World Cup qualification
49,1949,Suiza,Luxemburgo,5,2,FIFA World Cup qualification
50,1949,Yugoslavia,Israel,6,0,FIFA World Cup qualification
51,1949,Irlanda,Finlandia,3,0,FIFA World Cup qualification
52,1949,Israel,Yugoslavia,2,5,FIFA World Cup qualification
53,1949,Luxemburgo,Suiza,2,3,FIFA World Cup qualification
54,1949,México,Estados Unidos,6,2,FIFA World Cup qualification
55,1949,Estados Unidos,Cuba,5,2,FIFA World Cup qualification
56,1949,México,Cuba,3,0,FIFA World Cup qualification
57,1949,Irlanda del Norte,Escocia,2,8,FIFA World Cup qualification
58,1949,Finlandia,Irlanda,1,1,FIFA World Cup qualification
59,1949,Yugoslavia,Francia,1,1,FIFA World Cup qualification
60,1949,Gales,Inglaterra,1,4,FIFA World Cup qualification
61,1949,Francia,Yugoslavia,1,1,FIFA World Cup qualification
62,1949,Escocia,Gales,2,0,FIFA World Cup qualification
63,1949,Irlanda,Suecia,1,3,FIFA World Cup qualification
64,1949,Inglaterra,Irlanda del Norte,9,2,FIFA World Cup qualification
65,1949,Turquía,Siria,7,0,FIFA World Cup qualification
66,1949,Francia,Yugoslavia,2,3,FIFA World Cup qualification
67,1950,Gales,Irlanda del Norte,0,0,FIFA World Cup qualification
68,1950,España,Portugal,5,1,FIFA World Cup qualification
69,1950,Portugal,España,2,2,FIFA World Cup qualification
70,1950,Escocia,Inglaterra,0,1,FIFA World Cup qualification
71,1953,Yugoslavia,Grecia,1,0,FIFA World Cup qualification
72,1953,Finlandia,Bélgica,2,4,FIFA World Cup qualification
73,1953,Suecia,Bélgica,2,3,FIFA World Cup qualification
74,1953,Checoslovaquia,Rumania,2,0,FIFA World Cup qualification
75,1953,Noruega,Sarre,2,3,FIFA World Cup qualification
76,1953,Rumania,Bulgaria,3,1,FIFA World Cup qualification
77,1953,México,Haití,8,0,FIFA World Cup qualification
78,1953,Finlandia,Suecia,3,3,FIFA World Cup qualification
79,1953,Suecia,Finlandia,4,0,FIFA World Cup qualification
80,1953,Noruega,Alemania,1,1,FIFA World Cup qualification
81,1953,Bulgaria,Checoslovaquia,1,2,FIFA World Cup qualification
82,1953,Luxemburgo,Francia,1,6,FIFA World Cup qualification
83,1953,Bélgica,Finlandia,2,2,FIFA World Cup qualification
84,1953,Austria,Portugal,9,1,FIFA World Cup qualification
85,1953,Irlanda del Norte,Escocia,1,3,FIFA World Cup qualification
86,1953,Irlanda,Francia,3,5,FIFA World Cup qualification
87,1953,Bélgica,Suecia,2,0,FIFA World Cup qualification
88,1953,Gales,Inglaterra,1,4,FIFA World Cup qualification
89,1953,Bulgaria,Rumania,1,2,FIFA World Cup qualification
90,1953,Alemania,Sarre,3,0,FIFA World Cup qualification
91,1953,Rumania,Checoslovaquia,0,1,FIFA World Cup qualification
92,1953,Irlanda,Luxemburgo,4,0,FIFA World Cup qualification
93,1953,Grecia,Israel,1,0,FIFA World Cup qualification
94,1953,Escocia,Gales,3,3,FIFA World Cup qualification
95,1953,Checoslovaquia,Bulgaria,0,0,FIFA World Cup qualification
96,1953,Sarre,Noruega,0,0,FIFA World Cup qualification
97,1953,Yugoslavia,Israel,1,0,FIFA World Cup qualification
98,1953,Inglaterra,Irlanda del Norte,3,1,FIFA World Cup qualification
99,1953,Egipto,Italia,1,2,FIFA World Cup qualification
100,1953,Alemania,Noruega,5,1,FIFA World Cup qualification
101,1953,Francia,Irlanda,1,0,FIFA World Cup qualification
102,1953,Portugal,Austria,0,0,FIFA World Cup qualification
103,1953,Francia,Luxemburgo,8,0,FIFA World Cup qualification
104,1953,Haití,México,0,4,FIFA World Cup qualification
105,1954,España,Turquía,4,1,FIFA World Cup qualification
106,1954,México,Estados Unidos,4,0,FIFA World Cup qualification
107,1954,México,Estados Unidos,3,1,FIFA World Cup qualification
108,1954,Italia,Egipto,5,1,FIFA World Cup qualification
109,1954,Paraguay,Chile,4,0,FIFA World Cup qualification
110,1954,Chile,Paraguay,1,3,FIFA World Cup qualification
111,1954,Chile,Brasil,0,2,FIFA World Cup qualification
112,1954,Japón,Corea del Sur,1,5,FIFA World Cup qualification
113,1954,Luxemburgo,Irlanda,0,1,FIFA World Cup qualification
114,1954,Paraguay,Brasil,0,1,FIFA World Cup qualification
115,1954,Israel,Grecia,0,2,FIFA World Cup qualification
116,1954,Brasil,Chile,1,0,FIFA World Cup qualification
117,1954,Japón,Corea del Sur,2,2,FIFA World Cup qualification
118,1954,Turquía,España,1,0,FIFA World Cup qualification
119,1954,Turquía,España,2,2,FIFA World Cup qualification
120,1954,Israel,Yugoslavia,0,1,FIFA World Cup qualification
121,1954,Brasil,Paraguay,4,1,FIFA World Cup qualification
122,1954,Grecia,Yugoslavia,0,1,FIFA World Cup qualification
123,1954,Sarre,Alemania,1,3,FIFA World Cup qualification
124,1954,Gales,Irlanda del Norte,1,2,FIFA World Cup qualification
125,1954,Haití,Estados Unidos,2,3,FIFA World Cup qualification
126,1954,Escocia,Inglaterra,2,4,FIFA World Cup qualification
127,1954,Haití,Estados Unidos,0,3,FIFA World Cup qualification
128,1956,Austria,Luxemburgo,7,0,FIFA World Cup qualification
129,1956,Irlanda,Dinamarca,2,1,FIFA World Cup qualification
130,1956,Francia,Bélgica,6,3,FIFA World Cup qualification
131,1956,Inglaterra,Dinamarca,5,2,FIFA World Cup qualification
132,1957,Portugal,Irlanda del Norte,1,1,FIFA World Cup qualification
133,1957,Guatemala,Costa Rica,2,6,FIFA World Cup qualification
134,1957,Costa Rica,Guatemala,3,1,FIFA World Cup qualification
135,1957,Costa Rica,Curazao,4,0,FIFA World Cup qualification
136,1957,Sudán,Siria,1,0,FIFA World Cup qualification
137,1957,España,Suiza,2,2,FIFA World Cup qualification
138,1957,Guatemala,Curazao,1,3,FIFA World Cup qualification
139,1957,Países Bajos,Luxemburgo,4,1,FIFA World Cup qualification
140,1957,México,Estados Unidos,6,0,FIFA World Cup qualification
141,1957,Perú,Brasil,1,1,FIFA World Cup qualification
142,1957,Brasil,Perú,1,0,FIFA World Cup qualification
143,1957,Italia,Irlanda del Norte,1,0,FIFA World Cup qualification
144,1957,Estados Unidos,México,2,7,FIFA World Cup qualification
145,1957,Irlanda del Norte,Portugal,3,0,FIFA World Cup qualification
146,1957,Gales,Checoslovaquia,1,0,FIFA World Cup qualification
147,1957,Grecia,Yugoslavia,0,0,FIFA World Cup qualification
148,1957,Inglaterra,Irlanda,5,1,FIFA World Cup qualification
149,1957,Escocia,España,4,2,FIFA World Cup qualification
150,1957,Indonesia,China,2,0,FIFA World Cup qualification
151,1957,Dinamarca,Inglaterra,1,4,FIFA World Cup qualification
152,1957,Alemania Democrática,Gales,2,1,FIFA World Cup qualification
153,1957,Irlanda,Inglaterra,1,1,FIFA World Cup qualification
154,1957,Suiza,Escocia,1,2,FIFA World Cup qualification
155,1957,Noruega,Bulgaria,1,2,FIFA World Cup qualification
156,1957,Siria,Sudán,1,1,FIFA World Cup qualification
157,1957,Austria,Países Bajos,3,2,FIFA World Cup qualification
158,1957,Checoslovaquia,Gales,2,0,FIFA World Cup qualification
159,1957,Portugal,Italia,3,0,FIFA World Cup qualification
160,1957,España,Escocia,4,1,FIFA World Cup qualification
161,1957,China,Indonesia,4,3,FIFA World Cup qualification
162,1957,Francia,Islandia,8,0,FIFA World Cup qualification
163,1957,Bélgica,Islandia,8,3,FIFA World Cup qualification
164,1957,Noruega,Hungría,2,1,FIFA World Cup qualification
165,1957,Colombia,Uruguay,1,1,FIFA World Cup qualification
166,1957,Checoslovaquia,Alemania Democrática,3,1,FIFA World Cup qualification
167,1957,Grecia,Rumania,1,2,FIFA World Cup qualification
168,1957,Colombia,Paraguay,2,3,FIFA World Cup qualification
169,1957,Canadá,Estados Unidos,5,1,FIFA World Cup qualification
170,1957,China,Indonesia,0,0,FIFA World Cup qualification
171,1957,Hungría,Bulgaria,4,1,FIFA World Cup qualification
172,1957,Rusia,Polonia,3,0,FIFA World Cup qualification
173,1957,México,Canadá,3,0,FIFA World Cup qualification
174,1957,Uruguay,Colombia,1,0,FIFA World Cup qualification
175,1957,México,Canadá,2,0,FIFA World Cup qualification
176,1957,Finlandia,Polonia,1,3,FIFA World Cup qualification
177,1957,Estados Unidos,Canadá,2,3,FIFA World Cup qualification
178,1957,Paraguay,Colombia,3,0,FIFA World Cup qualification
179,1957,Paraguay,Uruguay,5,0,FIFA World Cup qualification
180,1957,Rusia,Finlandia,2,1,FIFA World Cup qualification
181,1957,Uruguay,Paraguay,2,0,FIFA World Cup qualification
182,1957,Curazao,Costa Rica,1,2,FIFA World Cup qualification
183,1957,Finlandia,Rusia,0,10,FIFA World Cup qualification
184,1957,Islandia,Francia,1,5,FIFA World Cup qualification
185,1957,Islandia,Bélgica,2,5,FIFA World Cup qualification
186,1957,Países Bajos,Luxemburgo,5,2,FIFA World Cup qualification
187,1957,Bulgaria,Hungría,1,2,FIFA World Cup qualification
188,1957,Chile,Bolivia,2,1,FIFA World Cup qualification
189,1957,Países Bajos,Austria,1,1,FIFA World Cup qualification
190,1957,Gales,Alemania Democrática,4,1,FIFA World Cup qualification
191,1957,Bolivia,Chile,3,0,FIFA World Cup qualification
192,1957,Luxemburgo,Austria,0,3,FIFA World Cup qualification
193,1957,Rumania,Yugoslavia,1,1,FIFA World Cup qualification
194,1957,Dinamarca,Irlanda,0,2,FIFA World Cup qualification
195,1957,Bolivia,Argentina,2,0,FIFA World Cup qualification
196,1957,Chile,Argentina,0,2,FIFA World Cup qualification
197,1957,Argentina,Chile,4,0,FIFA World Cup qualification
198,1957,México,Costa Rica,2,0,FIFA World Cup qualification
199,1957,Polonia,Rusia,2,1,FIFA World Cup qualification
200,1957,Argentina,Bolivia,4,0,FIFA World Cup qualification
201,1957,Bélgica,Francia,0,0,FIFA World Cup qualification
202,1957,Costa Rica,México,1,1,FIFA World Cup qualification
203,1957,Alemania Democrática,Checoslovaquia,1,4,FIFA World Cup qualification
204,1957,Bulgaria,Noruega,7,0,FIFA World Cup qualification
205,1957,Polonia,Finlandia,4,0,FIFA World Cup qualification
206,1957,Rumania,Grecia,3,0,FIFA World Cup qualification
207,1957,Escocia,Suiza,3,2,FIFA World Cup qualification
208,1957,Hungría,Noruega,5,0,FIFA World Cup qualification
209,1957,Yugoslavia,Grecia,4,1,FIFA World Cup qualification
210,1957,Yugoslavia,Rumania,2,0,FIFA World Cup qualification
211,1957,Polonia,Rusia,0,2,FIFA World Cup qualification
212,1957,Suiza,España,1,4,FIFA World Cup qualification
213,1957,Italia,Portugal,3,0,FIFA World Cup qualification
214,1958,Israel,Gales,0,2,FIFA World Cup qualification
215,1958,Irlanda del Norte,Italia,2,1,FIFA World Cup qualification
216,1958,Gales,Israel,2,0,FIFA World Cup qualification
217,1960,Costa Rica,Guatemala,3,2,FIFA World Cup qualification
218,1960,Ghana,Nigeria,4,1,FIFA World Cup qualification
219,1960,Guatemala,Costa Rica,4,4,FIFA World Cup qualification
220,1960,Honduras,Costa Rica,2,1,FIFA World Cup qualification
221,1960,Nigeria,Ghana,2,2,FIFA World Cup qualification
222,1960,Costa Rica,Honduras,5,0,FIFA World Cup qualification
223,1960,Finlandia,Francia,1,2,FIFA World Cup qualification
224,1960,Honduras,Guatemala,1,1,FIFA World Cup qualification
225,1960,Surinam,Curazao,1,2,FIFA World Cup qualification
226,1960,Luxemburgo,Inglaterra,0,9,FIFA World Cup qualification
227,1960,Suecia,Bélgica,2,0,FIFA World Cup qualification
228,1960,Irlanda del Norte,Alemania,3,4,FIFA World Cup qualification
229,1960,Marruecos,Túnez,2,1,FIFA World Cup qualification
230,1960,Estados Unidos,México,3,3,FIFA World Cup qualification
231,1960,Corea del Sur,Japón,2,1,FIFA World Cup qualification
232,1960,México,Estados Unidos,3,0,FIFA World Cup qualification
233,1960,Chipre,Israel,1,1,FIFA World Cup qualification
234,1960,Túnez,Marruecos,2,1,FIFA World Cup qualification
235,1960,Bélgica,Suiza,2,4,FIFA World Cup qualification
236,1960,Grecia,Alemania,0,3,FIFA World Cup qualification
237,1960,Curazao,Surinam,0,0,FIFA World Cup qualification
238,1960,Israel,Chipre,6,1,FIFA World Cup qualification
239,1960,Ecuador,Argentina,3,6,FIFA World Cup qualification
240,1960,Francia,Bulgaria,3,0,FIFA World Cup qualification
241,1960,Argentina,Ecuador,5,0,FIFA World Cup qualification
242,1961,Costa Rica,Honduras,1,0,FIFA World Cup qualification
243,1961,Marruecos,Túnez,1,1,FIFA World Cup qualification
244,1961,Israel,Etiopía,1,0,FIFA World Cup qualification
245,1961,Israel,Etiopía,3,2,FIFA World Cup qualification
246,1961,Portugal,Luxemburgo,6,0,FIFA World Cup qualification
247,1961,Costa Rica,México,1,0,FIFA World Cup qualification
248,1961,Costa Rica,Curazao,6,0,FIFA World Cup qualification
249,1961,Ghana,Marruecos,0,0,FIFA World Cup qualification
250,1961,México,Curazao,7,0,FIFA World Cup qualification
251,1961,México,Costa Rica,4,1,FIFA World Cup qualification
252,1961,Hungría,Alemania Democrática,2,0,FIFA World Cup qualification
253,1961,Gales,España,1,2,FIFA World Cup qualification
254,1961,Curazao,Costa Rica,2,0,FIFA World Cup qualification
255,1961,Colombia,Perú,1,0,FIFA World Cup qualification
256,1961,Países Bajos,Hungría,0,3,FIFA World Cup qualification
257,1961,Grecia,Irlanda del Norte,2,1,FIFA World Cup qualification
258,1961,Escocia,Irlanda,4,1,FIFA World Cup qualification
259,1961,Irlanda,Escocia,0,3,FIFA World Cup qualification
260,1961,Perú,Colombia,1,1,FIFA World Cup qualification
261,1961,Alemania,Irlanda del Norte,2,1,FIFA World Cup qualification
262,1961,Checoslovaquia,Escocia,4,0,FIFA World Cup qualification
263,1961,Alemania Democrática,Países Bajos,1,1,FIFA World Cup qualification
264,1961,España,Gales,1,1,FIFA World Cup qualification
265,1961,Suiza,Bélgica,2,1,FIFA World Cup qualification
266,1961,Curazao,México,0,0,FIFA World Cup qualification
267,1961,Portugal,Inglaterra,1,1,FIFA World Cup qualification
268,1961,Marruecos,Ghana,1,0,FIFA World Cup qualification
269,1961,Suecia,Suiza,4,0,FIFA World Cup qualification
270,1961,Noruega,Turquía,0,1,FIFA World Cup qualification
271,1961,Yugoslavia,Polonia,2,1,FIFA World Cup qualification
272,1961,Japón,Corea del Sur,0,2,FIFA World Cup qualification
273,1961,Finlandia,Bulgaria,0,2,FIFA World Cup qualification
274,1961,Rusia,Turquía,1,0,FIFA World Cup qualification
275,1961,Polonia,Yugoslavia,1,1,FIFA World Cup qualification
276,1961,Rusia,Noruega,5,2,FIFA World Cup qualification
277,1961,Bolivia,Uruguay,1,1,FIFA World Cup qualification
278,1961,Uruguay,Bolivia,2,1,FIFA World Cup qualification
279,1961,Noruega,Rusia,0,3,FIFA World Cup qualification
280,1961,Alemania Democrática,Hungría,2,3,FIFA World Cup qualification
281,1961,Inglaterra,Luxemburgo,4,1,FIFA World Cup qualification
282,1961,Francia,Finlandia,5,1,FIFA World Cup qualification
283,1961,Escocia,Checoslovaquia,3,2,FIFA World Cup qualification
284,1961,Bélgica,Suecia,0,2,FIFA World Cup qualification
285,1961,Irlanda,Checoslovaquia,1,3,FIFA World Cup qualification
286,1961,Luxemburgo,Portugal,4,2,FIFA World Cup qualification
287,1961,Yugoslavia,Corea del Sur,5,1,FIFA World Cup qualification
288,1961,Israel,Italia,2,4,FIFA World Cup qualification
289,1961,Irlanda del Norte,Grecia,2,0,FIFA World Cup qualification
290,1961,Alemania,Grecia,2,1,FIFA World Cup qualification
291,1961,Hungría,Países Bajos,3,3,FIFA World Cup qualification
292,1961,Inglaterra,Portugal,2,0,FIFA World Cup qualification
293,1961,Bulgaria,Finlandia,3,1,FIFA World Cup qualification
294,1961,Checoslovaquia,Irlanda,7,1,FIFA World Cup qualification
295,1961,México,Paraguay,1,0,FIFA World Cup qualification
296,1961,Suiza,Suecia,3,2,FIFA World Cup qualification
297,1961,Turquía,Noruega,2,1,FIFA World Cup qualification
298,1961,Italia,Israel,6,0,FIFA World Cup qualification
299,1961,Paraguay,México,0,0,FIFA World Cup qualification
300,1961,Bulgaria,Francia,1,0,FIFA World Cup qualification
301,1961,Marruecos,España,0,1,FIFA World Cup qualification
302,1961,Suiza,Suecia,2,1,FIFA World Cup qualification
303,1961,Turquía,Rusia,1,2,FIFA World Cup qualification
304,1961,España,Marruecos,3,2,FIFA World Cup qualification
305,1961,Corea del Sur,Yugoslavia,1,3,FIFA World Cup qualification
306,1961,Checoslovaquia,Escocia,4,2,FIFA World Cup qualification
307,1961,Bulgaria,Francia,1,0,FIFA World Cup qualification
308,1964,Países Bajos,Albania,2,0,FIFA World Cup qualification
309,1964,Yugoslavia,Luxemburgo,3,1,FIFA World Cup qualification
310,1964,Luxemburgo,Francia,0,2,FIFA World Cup qualification
311,1964,Irlanda del Norte,Suiza,1,0,FIFA World Cup qualification
312,1964,Dinamarca,Gales,1,0,FIFA World Cup qualification
313,1964,Escocia,Finlandia,3,1,FIFA World Cup qualification
314,1964,Albania,Países Bajos,0,2,FIFA World Cup qualification
315,1964,Alemania,Suecia,1,1,FIFA World Cup qualification
316,1964,Italia,Finlandia,6,1,FIFA World Cup qualification
317,1964,Luxemburgo,Noruega,0,2,FIFA World Cup qualification
318,1964,Francia,Noruega,1,0,FIFA World Cup qualification
319,1964,Suiza,Irlanda del Norte,2,1,FIFA World Cup qualification
320,1964,Grecia,Dinamarca,4,2,FIFA World Cup qualification
321,1964,Grecia,Gales,2,0,FIFA World Cup qualification
322,1965,Jamaica,Cuba,2,0,FIFA World Cup qualification
323,1965,Cuba,Curazao,1,1,FIFA World Cup qualification
324,1965,Jamaica,Curazao,2,0,FIFA World Cup qualification
325,1965,Portugal,Turquía,5,1,FIFA World Cup qualification
326,1965,Cuba,Curazao,0,1,FIFA World Cup qualification
327,1965,Curazao,Jamaica,0,0,FIFA World Cup qualification
328,1965,Cuba,Jamaica,2,1,FIFA World Cup qualification
329,1965,Trinidad y Tobago,Surinam,4,1,FIFA World Cup qualification
330,1965,Costa Rica,Surinam,1,0,FIFA World Cup qualification
331,1965,Costa Rica,Trinidad y Tobago,4,0,FIFA World Cup qualification
332,1965,Honduras,México,0,1,FIFA World Cup qualification
333,1965,Surinam,Costa Rica,1,3,FIFA World Cup qualification
334,1965,México,Honduras,3,0,FIFA World Cup qualification
335,1965,Trinidad y Tobago,Costa Rica,0,1,FIFA World Cup qualification
336,1965,Estados Unidos,México,2,2,FIFA World Cup qualification
337,1965,México,Estados Unidos,2,0,FIFA World Cup qualification
338,1965,Surinam,Trinidad y Tobago,6,1,FIFA World Cup qualification
339,1965,Honduras,Estados Unidos,0,1,FIFA World Cup qualification
340,1965,Irlanda del Norte,Países Bajos,2,1,FIFA World Cup qualification
341,1965,Gales,Grecia,4,1,FIFA World Cup qualification
342,1965,Honduras,Estados Unidos,1,1,FIFA World Cup qualification
343,1965,Países Bajos,Irlanda del Norte,0,0,FIFA World Cup qualification
344,1965,Albania,Suiza,0,2,FIFA World Cup qualification
345,1965,Polonia,Italia,0,0,FIFA World Cup qualification
346,1965,Yugoslavia,Francia,1,0,FIFA World Cup qualification
347,1965,Turquía,Portugal,0,1,FIFA World Cup qualification
348,1965,Alemania,Chipre,5,0,FIFA World Cup qualification
349,1965,Austria,Alemania Democrática,1,1,FIFA World Cup qualification
350,1965,Costa Rica,México,0,0,FIFA World Cup qualification
351,1965,Checoslovaquia,Portugal,0,1,FIFA World Cup qualification
352,1965,Rumania,Turquía,3,0,FIFA World Cup qualification
353,1965,Suiza,Albania,1,0,FIFA World Cup qualification
354,1965,Jamaica,México,2,3,FIFA World Cup qualification
355,1965,Irlanda,España,1,0,FIFA World Cup qualification
356,1965,Suecia,Chipre,3,0,FIFA World Cup qualification
357,1965,México,Jamaica,8,0,FIFA World Cup qualification
358,1965,Irlanda del Norte,Albania,4,1,FIFA World Cup qualification
359,1965,Bélgica,Israel,1,0,FIFA World Cup qualification
360,1965,Costa Rica,Jamaica,7,0,FIFA World Cup qualification
361,1965,México,Costa Rica,1,0,FIFA World Cup qualification
362,1965,Perú,Venezuela,1,0,FIFA World Cup qualification
363,1965,Jamaica,Costa Rica,1,1,FIFA World Cup qualification
364,1965,Alemania Democrática,Hungría,1,1,FIFA World Cup qualification
365,1965,Polonia,Escocia,1,1,FIFA World Cup qualification
366,1965,Rusia,Grecia,3,1,FIFA World Cup qualification
367,1965,Uruguay,Venezuela,5,0,FIFA World Cup qualification
368,1965,Finlandia,Escocia,1,2,FIFA World Cup qualification
369,1965,Noruega,Luxemburgo,4,2,FIFA World Cup qualification
370,1965,Rumania,Checoslovaquia,1,0,FIFA World Cup qualification
371,1965,Rusia,Gales,2,1,FIFA World Cup qualification
372,1965,Venezuela,Uruguay,1,3,FIFA World Cup qualification
373,1965,Venezuela,Perú,3,6,FIFA World Cup qualification
374,1965,Perú,Uruguay,0,1,FIFA World Cup qualification
375,1965,Austria,Hungría,0,1,FIFA World Cup qualification
376,1965,Bulgaria,Israel,4,0,FIFA World Cup qualification
377,1965,Uruguay,Perú,2,1,FIFA World Cup qualification
378,1965,Portugal,Rumania,2,1,FIFA World Cup qualification
379,1965,Noruega,Yugoslavia,3,0,FIFA World Cup qualification
380,1965,Finlandia,Italia,0,2,FIFA World Cup qualification
381,1965,Rusia,Dinamarca,6,0,FIFA World Cup qualification
382,1965,Colombia,Ecuador,0,1,FIFA World Cup qualification
383,1965,Ecuador,Colombia,2,0,FIFA World Cup qualification
384,1965,Paraguay,Bolivia,2,0,FIFA World Cup qualification
385,1965,Argentina,Paraguay,3,0,FIFA World Cup qualification
386,1965,Chile,Colombia,7,2,FIFA World Cup qualification
387,1965,Colombia,Chile,2,0,FIFA World Cup qualification
388,1965,Paraguay,Argentina,0,0,FIFA World Cup qualification
389,1965,Ecuador,Chile,2,2,FIFA World Cup qualification
390,1965,Argentina,Bolivia,4,1,FIFA World Cup qualification
391,1965,Bolivia,Paraguay,2,1,FIFA World Cup qualification
392,1965,Chile,Ecuador,3,1,FIFA World Cup qualification
393,1965,Bolivia,Argentina,1,2,FIFA World Cup qualification
394,1965,Hungría,Austria,3,0,FIFA World Cup qualification
395,1965,Noruega,Francia,0,1,FIFA World Cup qualification
396,1965,Checoslovaquia,Rumania,3,1,FIFA World Cup qualification
397,1965,Luxemburgo,Yugoslavia,2,5,FIFA World Cup qualification
398,1965,Bulgaria,Bélgica,3,0,FIFA World Cup qualification
399,1965,Suecia,Alemania,1,2,FIFA World Cup qualification
400,1965,Finlandia,Polonia,2,0,FIFA World Cup qualification
401,1965,Grecia,Rusia,1,4,FIFA World Cup qualification
402,1965,Francia,Yugoslavia,1,0,FIFA World Cup qualification
403,1965,Hungría,Alemania Democrática,3,2,FIFA World Cup qualification
404,1965,Turquía,Checoslovaquia,0,6,FIFA World Cup qualification
405,1965,Chile,Ecuador,2,1,FIFA World Cup qualification
406,1965,Escocia,Polonia,1,2,FIFA World Cup qualification
407,1965,Dinamarca,Rusia,1,3,FIFA World Cup qualification
408,1965,Países Bajos,Suiza,0,0,FIFA World Cup qualification
409,1965,Turquía,Rumania,2,1,FIFA World Cup qualification
410,1965,Polonia,Finlandia,7,0,FIFA World Cup qualification
411,1965,Bélgica,Bulgaria,5,0,FIFA World Cup qualification
412,1965,Dinamarca,Grecia,1,1,FIFA World Cup qualification
413,1965,España,Irlanda,4,1,FIFA World Cup qualification
414,1965,Gales,Rusia,2,1,FIFA World Cup qualification
415,1965,Alemania Democrática,Austria,1,0,FIFA World Cup qualification
416,1965,Portugal,Checoslovaquia,0,0,FIFA World Cup qualification
417,1965,Italia,Polonia,6,1,FIFA World Cup qualification
418,1965,Francia,Luxemburgo,4,1,FIFA World Cup qualification
419,1965,Chipre,Suecia,0,5,FIFA World Cup qualification
420,1965,Yugoslavia,Noruega,1,1,FIFA World Cup qualification
421,1965,Escocia,Italia,1,0,FIFA World Cup qualification
422,1965,Irlanda,España,0,1,FIFA World Cup qualification
423,1965,Israel,Bélgica,0,5,FIFA World Cup qualification
424,1965,Chipre,Alemania,0,6,FIFA World Cup qualification
425,1965,Suiza,Países Bajos,2,1,FIFA World Cup qualification
426,1965,Checoslovaquia,Turquía,3,1,FIFA World Cup qualification
427,1965,Israel,Bulgaria,1,2,FIFA World Cup qualification
428,1965,Corea del Norte,Australia,6,1,FIFA World Cup qualification
429,1965,Rumania,Portugal,2,0,FIFA World Cup qualification
430,1965,Albania,Irlanda del Norte,1,1,FIFA World Cup qualification
431,1965,Australia,Corea del Norte,1,3,FIFA World Cup qualification
432,1965,Gales,Dinamarca,4,2,FIFA World Cup qualification
433,1965,Italia,Escocia,3,0,FIFA World Cup qualification
