Unnamed: 0,home,score,away,year
0,Yugoslavia,1:0,Francia,1954
1,Brasil,5:0,México,1954
2,Brasil,1:1,Yugoslavia,1954
3,Francia,3:2,México,1954
4,Alemania,4:1,Turquía,1954
5,Hungría,9:0,Corea del Sur,1954
6,Hungría,8:3,Alemania,1954
7,Turquía,7:0,Corea del Sur,1954
8,Alemania,7:2,Turquía,1954
9,Austria,1:0,Escocia,1954
10,Uruguay,2:0,Checoslovaquia,1954
11,Uruguay,7:0,Escocia,1954
12,Austria,5:0,Checoslovaquia,1954
13,Suiza,2:1,Italia,1954
14,Inglaterra,4:4,Bélgica,1954
15,Italia,4:1,Bélgica,1954
16,Inglaterra,2:0,Suiza,1954
17,Suiza,4:1,Italia,1954
18,Runners-up Grupo 3,Match 19,Runners-up Grupo 4,1954
19,Winner Grupo 3,Match 20,Winner Grupo 4,1954
20,Winner Grupo 2,Match 21,Winner Grupo 1,1954
21,Runners-up Grupo 2,Match 22,Runners-up Grupo 1,1954
22,Winner Match 21,Match 23,Winner Match 20,1954
23,Winner Match 22,Match 24,Winner Match 19,1954
24,Loser Match 24,Match 25,Loser Match 23,1954
25,Winner Match 24,Match 26,Winner Match 23,1954
