Unnamed: 0,home,score,away,year
0,Argentina,1:3,Alemania,1958
1,Irlanda del Norte,1:0,Checoslovaquia,1958
2,Argentina,3:1,Irlanda del Norte,1958
3,Alemania,2:2,Checoslovaquia,1958
4,Checoslovaquia,6:1,Argentina,1958
5,Alemania,2:2,Irlanda del Norte,1958
6,Irlanda del Norte,2:1,Checoslovaquia,1958
7,Yugoslavia,1:1,Escocia,1958
8,Francia,7:3,Paraguay,1958
9,Yugoslavia,3:2,Francia,1958
10,Paraguay,3:2,Escocia,1958
11,Paraguay,3:3,Yugoslavia,1958
12,Francia,2:1,Escocia,1958
13,Suecia,3:0,México,1958
14,Hungría,1:1,Gales,1958
15,México,1:1,Gales,1958
16,Suecia,2:1,Hungría,1958
17,Suecia,0:0,Gales,1958
18,Hungría,4:0,México,1958
19,Gales,2:1,Hungría,1958
20,Rusia,2:2,Inglaterra,1958
21,Brasil,3:0,Austria,1958
22,Rusia,2:0,Austria,1958
23,Brasil,0:0,Inglaterra,1958
24,Brasil,2:0,Rusia,1958
25,Inglaterra,2:2,Austria,1958
26,Rusia,1:0,Inglaterra,1958
27,Winner Grupo 4,Match 28,Runners-up Grupo 3,1958
28,Winner Grupo 2,Match 29,Runners-up Grupo 1,1958
29,Winner Grupo 1,Match 30,Runners-up Grupo 2,1958
30,Winner Grupo 3,Match 31,Runners-up Grupo 4,1958
31,Winner Match 31,Match 32,Winner Match 30,1958
32,Winner Match 28,Match 33,Winner Match 29,1958
33,Loser Match 33,Match 34,Loser Match 32,1958
34,Winner Match 33,Match 35,Winner Match 32,1958
