Unnamed: 0,home,score,away,year
0,Suiza,Match 1,Alemania,1938
1,Francia,Match 2,Bélgica,1938
2,Italia,Match 3,Noruega,1938
3,Brasil,Match 4,Polonia,1938
4,Checoslovaquia,Match 5,Países Bajos,1938
5,Cuba,Match 6,Rumania,1938
6,Suecia,Match 7,Austria,1938
7,Hungría,Match 8,Indias Orientales Neerlandesas,1938
8,Cuba,Match 9,Rumania,1938
9,Suiza,Match 10,Alemania,1938
10,Winner Match 3,Match 11,Winner Match 2,1938
11,Winner Match 4,Match 12,Winner Match 5,1938
12,Winner Match 8,Match 13,Winner Match 1,1938
13,Winner Match 7,Match 14,Winner Match 6,1938
14,Winner Match 4,Match 15,Winner Match 5,1938
15,Winner Match 13,Match 16,Winner Match 14,1938
16,Winner Match 11,Match 17,Winner Match 12,1938
17,Loser Match 17,Match 18,Loser Match 16,1938
18,Winner Match 17,Match 19,Winner Match 16,1938
