,home,score,away,year
0,Italia,2:1,Francia,1978
1,Argentina,2:1,Hungría,1978
2,Italia,3:1,Hungría,1978
3,Argentina,2:1,Francia,1978
4,Francia,3:1,Hungría,1978
5,Italia,1:0,Argentina,1978
6,Alemania,0:0,Polonia,1978
7,Túnez,3:1,México,1978
8,Alemania,6:0,México,1978
9,Polonia,1:0,Túnez,1978
10,Alemania,0:0,Túnez,1978
11,Polonia,3:1,México,1978
12,Austria,2:1,España,1978
13,Suecia,1:1,Brasil,1978
14,Austria,1:0,Suecia,1978
15,Brasil,0:0,España,1978
16,España,1:0,Suecia,1978
17,Brasil,1:0,Austria,1978
18,Perú,3:1,Escocia,1978
19,Países Bajos,3:0,Irán,1978
20,Escocia,1:1,Irán,1978
21,Países Bajos,0:0,Perú,1978
22,Perú,4:1,Irán,1978
23,Escocia,3:2,Países Bajos,1978
24,Runners-up Grupo 4,Match 25,Winner Grupo 3,1978
25,Runners-up Grupo 2,Match 26,Winner Grupo 1,1978
26,Runners-up Grupo 2,Match 27,Runners-up Grupo 4,1978
27,Winner Grupo 1,Match 28,Winner Grupo 3,1978
28,Winner Grupo 3,Match 29,Runners-up Grupo 2,1978
29,Runners-up Grupo 4,Match 30,Winner Grupo 1,1978
30,Runners-up Grupo 3,Match 31,Winner Grupo 4,1978
31,Runners-up Grupo 1,Match 32,Winner Grupo 2,1978
32,Winner Grupo 2,Match 33,Winner Grupo 4,1978
33,Runners-up Grupo 1,Match 34,Runners-up Grupo 3,1978
34,Runners-up Grupo 3,Match 35,Winner Grupo 2,1978
35,Runners-up Grupo 1,Match 36,Winner Grupo 4,1978
36,Runners-up Grupo B,Match 37,Runners-up Grupo A,1978
37,Winner Grupo B,Match 38,Winner Grupo A,1978
