,home,score,away,year
20,Suecia,3:1,España,1950
1,Yugoslavia,3:0,Suiza,1950
15,Uruguay,8:0,Bolivia,1950
19,Brasil,6:1,España,1950
17,Uruguay,2:2,España,1950
5,Suiza,2:1,México,1950
18,Uruguay,3:2,Suecia,1950
21,Uruguay,2:1,Brasil,1950
9,Estados Unidos,1:0,Inglaterra,1950
10,España,1:0,Inglaterra,1950
4,Brasil,2:0,Yugoslavia,1950
13,Suecia,2:2,Paraguay,1950
16,Brasil,7:1,Suecia,1950
11,Chile,5:2,Estados Unidos,1950
0,Brasil,4:0,México,1950
8,España,2:0,Chile,1950
6,España,3:1,Estados Unidos,1950
2,Brasil,2:2,Suiza,1950
14,Italia,2:0,Paraguay,1950
12,Suecia,3:2,Italia,1950
7,Inglaterra,2:0,Chile,1950
3,Yugoslavia,4:1,México,1950
