Unnamed: 0,home,score,away,year
30,Chile,1:0,Yugoslavia,1962
15,España,1:0,México,1962
6,Chile,3:1,Suiza,1962
3,Unión Soviética,4:4,Colombia,1962
24,Chile,2:1,Unión Soviética,1962
1,Unión Soviética,2:0,Yugoslavia,1962
5,Yugoslavia,5:0,Colombia,1962
7,Alemania Federal,0:0,Italia,1962
17,México,3:1,Checoslovaquia,1962
18,Argentina,1:0,Bulgaria,1962
14,Brasil,0:0,Checoslovaquia,1962
14,Hungría,3:1,Brasil,1966
24,Unión Soviética,2:1,Hungría,1966
8,España,2:1,Suiza,1966
4,Uruguay,0:0,México,1966
31,Inglaterra,4:2,Alemania Federal,1966
3,Inglaterra,2:0,México,1966
28,Alemania Federal,2:1,Unión Soviética,1966
10,Argentina,2:0,Suiza,1966
21,Unión Soviética,1:0,Italia,1966
15,Portugal,3:0,Bulgaria,1966
13,Portugal,3:1,Hungría,1966
1,Francia,1:1,México,1966
5,Inglaterra,2:0,Francia,1966
23,Unión Soviética,2:1,Chile,1966
22,Corea del Norte,1:0,Italia,1966
2,Uruguay,2:1,Francia,1966
20,Corea del Norte,1:1,Chile,1966
27,Inglaterra,1:0,Argentina,1966
25,Alemania Federal,4:0,Uruguay,1966
7,Argentina,2:1,España,1966
18,Unión Soviética,3:0,Corea del Norte,1966
12,Brasil,2:0,Bulgaria,1966
17,Hungría,3:1,Bulgaria,1966
29,Inglaterra,2:1,Portugal,1966
30,Portugal,2:1,Unión Soviética,1966
16,Portugal,3:1,Brasil,1966
0,Inglaterra,0:0,Uruguay,1966
11,Alemania Federal,2:1,España,1966
26,Portugal,5:3,Corea del Norte,1966
19,Italia,2:0,Chile,1966
6,Alemania Federal,5:0,Suiza,1966
9,Alemania Federal,0:0,Argentina,1966
4,Unión Soviética,2:0,El Salvador,1970
24,Uruguay,1:0,Unión Soviética,1970
14,Rumania,2:1,Checoslovaquia,1970
22,Alemania Federal,3:1,Perú,1970
26,Alemania Federal,3:2,Inglaterra,1970
0,México,0:0,Unión Soviética,1970
13,Brasil,4:1,Checoslovaquia,1970
5,México,1:0,Bélgica,1970
15,Brasil,1:0,Inglaterra,1970
28,Brasil,3:1,Uruguay,1970
12,Inglaterra,1:0,Rumania,1970
29,Italia,4:3,Alemania Federal,1970
16,Brasil,3:2,Rumania,1970
18,Perú,3:2,Bulgaria,1970
8,Uruguay,0:0,Italia,1970
17,Inglaterra,1:0,Checoslovaquia,1970
1,Bélgica,3:0,El Salvador,1970
10,Suecia,1:0,Uruguay,1970
19,Alemania Federal,2:1,Marruecos,1970
31,Brasil,4:1,Italia,1970
2,Unión Soviética,4:1,Bélgica,1970
9,Suecia,1:1,Israel,1970
7,Italia,1:0,Suecia,1970
30,Alemania Federal,1:0,Uruguay,1970
27,Italia,4:1,México,1970
11,Italia,0:0,Israel,1970
25,Brasil,4:2,Perú,1970
21,Alemania Federal,5:2,Bulgaria,1970
