Unnamed: 0,home,score,away,year
0,Inglaterra,0:0,Uruguay,1966
1,Francia,1:1,México,1966
2,Uruguay,2:1,Francia,1966
3,Inglaterra,2:0,México,1966
4,Uruguay,0:0,México,1966
5,Inglaterra,2:0,Francia,1966
6,Alemania,5:0,Suiza,1966
7,Argentina,2:1,España,1966
8,España,2:1,Suiza,1966
9,Alemania,0:0,Argentina,1966
10,Argentina,2:0,Suiza,1966
11,Alemania,2:1,España,1966
12,Brasil,2:0,Bulgaria,1966
13,Portugal,3:1,Hungría,1966
14,Hungría,3:1,Brasil,1966
15,Portugal,3:0,Bulgaria,1966
16,Portugal,3:1,Brasil,1966
17,Hungría,3:1,Bulgaria,1966
18,Rusia,3:0,Corea del Norte,1966
19,Italia,2:0,Chile,1966
20,Corea del Norte,1:1,Chile,1966
21,Rusia,1:0,Italia,1966
22,Corea del Norte,1:0,Italia,1966
23,Rusia,2:1,Chile,1966
24,Winner Grupo 4,Match 25,Runners-up Grupo 3,1966
25,Winner Grupo 2,Match 26,Runners-up Grupo 1,1966
26,Winner Grupo 3,Match 27,Runners-up Grupo 4,1966
27,Winner Grupo 1,Match 28,Runners-up Grupo 2,1966
28,Winner Match 26,Match 29,Winner Match 25,1966
29,Winner Match 28,Match 30,Winner Match 27,1966
30,Loser Match 30,Match 31,Loser Match 29,1966
31,Winner Match 30,Match 32,Winner Match 29,1966
