Unnamed: 0,home,score,away,year
0,México,0:0,Rusia,1970
1,Bélgica,3:0,El Salvador,1970
2,Rusia,4:1,Bélgica,1970
3,México,4:0,El Salvador,1970
4,Rusia,2:0,El Salvador,1970
5,México,1:0,Bélgica,1970
6,Uruguay,2:0,Israel,1970
7,Italia,1:0,Suecia,1970
8,Uruguay,0:0,Italia,1970
9,Suecia,1:1,Israel,1970
10,Suecia,1:0,Uruguay,1970
11,Italia,0:0,Israel,1970
12,Inglaterra,1:0,Rumania,1970
13,Brasil,4:1,Checoslovaquia,1970
14,Rumania,2:1,Checoslovaquia,1970
15,Brasil,1:0,Inglaterra,1970
16,Brasil,3:2,Rumania,1970
17,Inglaterra,1:0,Checoslovaquia,1970
18,Perú,3:2,Bulgaria,1970
19,Alemania,2:1,Marruecos,1970
20,Perú,3:0,Marruecos,1970
21,Alemania,5:2,Bulgaria,1970
22,Alemania,3:1,Perú,1970
23,Bulgaria,1:1,Marruecos,1970
24,Runners-up Grupo 2,Match 25,Winner Grupo 1,1970
25,Winner Grupo 3,Match 26,Runners-up Grupo 4,1970
26,Winner Grupo 4,Match 27,Runners-up Grupo 3,1970
27,Winner Grupo 2,Match 28,Runners-up Grupo 1,1970
28,Winner Match 26,Match 29,Winner Match 25,1970
29,Winner Match 28,Match 30,Winner Match 27,1970
30,Loser Match 30,Match 31,Loser Match 29,1970
31,Winner Match 29,Match 32,Winner Match 30,1970
