Unnamed: 0,home,score,away,year
0,Bulgaria,1:1,Italia,1986
1,Argentina,3:1,Corea del Sur,1986
2,Italia,1:1,Argentina,1986
3,Corea del Sur,1:1,Bulgaria,1986
4,Corea del Sur,2:3,Italia,1986
5,Argentina,2:0,Bulgaria,1986
6,Bélgica,1:2,México,1986
7,Paraguay,1:0,Irak,1986
8,México,1:1,Paraguay,1986
9,Irak,1:2,Bélgica,1986
10,Paraguay,2:2,Bélgica,1986
11,Irak,0:1,México,1986
12,Canadá,0:1,Francia,1986
13,Rusia,6:0,Hungría,1986
14,Francia,1:1,Rusia,1986
15,Hungría,2:0,Canadá,1986
16,Hungría,0:3,Francia,1986
17,Rusia,2:0,Canadá,1986
18,España,0:1,Brasil,1986
19,Argelia,1:1,Irlanda del Norte,1986
20,Brasil,1:0,Argelia,1986
21,Irlanda del Norte,1:2,España,1986
22,Irlanda del Norte,0:3,Brasil,1986
23,Argelia,0:3,España,1986
24,Uruguay,1:1,Alemania,1986
25,Escocia,0:1,Dinamarca,1986
26,Alemania,2:1,Escocia,1986
27,Dinamarca,6:1,Uruguay,1986
28,Dinamarca,2:0,Alemania,1986
29,Escocia,0:0,Uruguay,1986
30,Marruecos,0:0,Polonia,1986
31,Portugal,1:0,Inglaterra,1986
32,Inglaterra,0:0,Marruecos,1986
33,Polonia,1:0,Portugal,1986
34,Inglaterra,3:0,Polonia,1986
35,Portugal,1:3,Marruecos,1986
36,Winner Grupo B,Match 37,Third-p Grupo A,1986
37,Winner Grupo C,Match 38,Third-p Grupo B,1986
38,Winner Grupo D,Match 39,Third-p Grupo F,1986
39,Winner Grupo A,Match 40,Third-p Grupo E,1986
40,Runners-up Grupo A,Match 41,Runners-up Grupo C,1986
41,Winner Grupo F,Match 42,Runners-up Grupo E,1986
42,Runners-up Grupo F,Match 43,Runners-up Grupo B,1986
43,Winner Grupo E,Match 44,Runners-up Grupo D,1986
44,Winner Match 39,Match 45,Winner Match 41,1986
45,Winner Match 42,Match 46,Winner Match 37,1986
46,Winner Match 40,Match 47,Winner Match 43,1986
47,Winner Match 44,Match 48,Winner Match 38,1986
48,Winner Match 45,Match 49,Winner Match 46,1986
49,Winner Match 47,Match 50,Winner Match 48,1986
50,Loser Match 49,Match 51,Loser Match 50,1986
51,Winner Match 50,Match 52,Winner Match 49,1986
